交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月3日,1020,1050,1020,1040,20,1.96,2.94,378,398,0.95,3.93,143,-77,11.2,77.2,75.7,-14,193,-2,1,0.52
11月2日,1035,1040,1005,1020,0,0,3.43,715,729,0.98,7.28,28.6,-156,7.61,-119,75.6,10,207,0,3,1.45
11月1日,1055,1060,1010,1020,-40,-3.77,4.72,"1,028","1,055",0.97,10.6,-37.3,-83.8,3.28,-118,75.7,22,197,-1,3,1.52
10月31日,1085,1100,1050,1060,-30,-2.75,4.59,"1,106","1,152",0.96,11.8,16.7,-10.9,-19.5,-13.7,75.7,20,175,2,4,2.29
10月30日,1080,1105,1080,1090,-10,-0.91,2.27,686,721,0.95,7.5,-11.4,-36,-1.74,-49.1,75.7,4,155,0,2,1.29
10月27日,1085,1115,1085,1100,15,1.38,2.76,728,782,0.93,8,149,24.3,-8.93,164,75.7,-17,151,1,2,1.32
10月26日,1055,1100,1045,1085,25,2.36,5.19,"1,273","1,128",1.13,13.8,87.6,27.2,-25.2,89.6,75.6,-27,168,0,1,0.6
10月25日,1040,1080,1035,1060,25,2.42,4.35,614,728,0.84,6.55,-99.4,1,17.3,-81.1,75.6,-9,195,0,1,0.51
10月24日,1010,1045,1000,1035,15,1.47,4.41,555,567,0.98,5.71,-105,59,2.39,-43.7,75.6,5,204,0,1,0.49
10月23日,1030,1040,1015,1020,-15,-1.45,2.42,278,334,0.83,2.85,-21.1,3,-7.87,-25.9,75.7,-4,199,0,1,0.5
10月20日,1035,1055,1020,1035,-20,-1.9,3.32,488,555,0.88,5.06,-5.78,0,-3.64,-9.42,75.7,4,203,-2,1,0.49
10月19日,1105,1105,1050,1055,-50,-4.52,4.98,820,"1,254",0.65,8.74,55,3,10.9,68.9,75.7,29,199,0,3,1.51
10月18日,1075,1115,1055,1105,55,5.24,5.71,"1,121","1,429",0.78,12.3,-129,153,25.1,49.1,75.7,-22,170,0,3,1.76
10月17日,1080,1085,1045,1050,-20,-1.87,3.74,442,596,0.74,4.69,-40.6,-0.19,-4.42,-45.2,75.7,9,192,0,3,1.56
10月16日,1100,1100,1050,1070,-5,-0.47,4.65,560,793,0.71,6,-80.6,71.8,-12.6,-21.4,75.8,9,183,0,3,1.64
10月13日,1045,1095,1030,1075,50,4.88,6.34,"1,294","1,649",0.78,13.9,64.4,233,-0.5,297,75.8,-36,174,2,3,1.72
10月12日,1015,1025,992,1025,15,1.49,3.27,540,638,0.85,5.46,38.6,0,7.56,46.2,75.7,-8,210,0,1,0.48
10月11日,1000,1020,992,1010,32,3.27,2.86,666,850,0.78,6.7,78.6,10.1,26.2,115,75.7,-34,218,0,1,0.46
10月6日,989,996,976,978,-9,-0.91,2.03,358,780,0.46,3.51,-52.3,-21.3,6.59,-67,75.7,14,252,-1,1,0.4
10月5日,999,1005,987,987,-13,-1.3,1.8,397,617,0.64,3.93,-106,-1.11,-6.57,-114,75.7,15,238,0,2,0.84
10月4日,1000,1005,983,1000,2,0.2,2.2,524,563,0.93,5.22,-43.9,0,-4.07,-47.9,75.8,-5,223,0,2,0.9
10月3日,986,1010,981,998,-7,-0.7,2.89,403,487,0.83,4.02,-41,16.9,8.18,-16,75.8,0,228,0,2,0.88
10月2日,980,1020,980,1005,26,2.66,4.09,436,670,0.65,4.4,62.3,7,20.3,89.6,75.8,13,228,0,2,0.88
