交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月3日,24.65,24.95,24.6,24.95,0.45,1.84,1.43,"13,355","3,910",3.42,3.31,"3,561",891,23,"4,475",26.3,70,"1,520",2,5,0.33
11月2日,24.6,24.65,24.45,24.5,0.1,0.41,0.82,"9,341","3,901",2.39,2.29,"-1,080",482,1.66,-596,26.3,34,"1,450",0,3,0.21
11月1日,24.35,24.5,24.2,24.4,0.1,0.41,1.23,"9,614","3,731",2.58,2.35,-960,"1,896",270,"1,206",26.3,-12,"1,416",0,3,0.21
10月31日,24.1,24.35,24.1,24.3,0.2,0.83,1.04,"13,454","3,407",3.95,3.26,655,"1,313",581,"2,549",26.3,-164,"1,428",0,3,0.21
10月30日,24.2,24.4,24,24.1,-0.3,-1.23,1.64,"19,448","8,571",2.27,4.69,"-9,295","1,767",176,"-7,352",26.3,120,"1,592",-1,3,0.19
10月27日,24.4,24.5,24.35,24.4,0.05,0.21,0.62,"10,379","4,010",2.59,2.53,-992,710,200,-81.5,26.4,-168,"1,472",0,4,0.27
10月26日,24.35,24.6,24.2,24.35,-0.25,-1.02,1.63,"16,691","4,843",3.45,4.07,"-2,938",406,881,"-1,652",26.4,-8,"1,640",0,4,0.24
10月25日,24.6,24.75,24.55,24.6,0.15,0.61,0.82,"10,575","4,115",2.57,2.61,941,"1,164",179,"2,284",26.4,-7,"1,648",-15,4,0.24
10月24日,24.4,24.6,24.25,24.45,0.05,0.2,1.43,"10,201","4,606",2.21,2.49,"-1,345",934,-46.8,-457,26.4,45,"1,655",0,19,1.15
10月23日,24.6,24.65,24.3,24.4,-0.35,-1.41,1.41,"14,908","6,506",2.29,3.64,"-4,757",453,487,"-3,817",26.4,34,"1,610",1,19,1.18
10月20日,24.65,24.85,24.35,24.75,-0.35,-1.39,1.99,"28,302","10,357",2.73,6.96,"-6,904",112,576,"-6,216",26.5,16,"1,576",0,18,1.14
10月19日,25.3,25.4,25,25.1,-0.45,-1.76,1.57,"21,255","7,536",2.82,5.34,"-6,561","1,547","2,550","-2,464",26.5,-239,"1,560",1,18,1.15
10月18日,25.55,25.55,25.3,25.55,0.25,0.99,0.99,"31,030","5,196",5.97,7.91,983,414,"4,004","5,401",26.6,-30,"1,799",0,17,0.94
10月17日,25.55,25.6,25.3,25.3,-0.25,-0.98,1.17,"15,883","6,119",2.6,4.04,"-5,558",457,"2,187","-2,914",26.6,-14,"1,829",0,17,0.93
10月16日,25.4,25.55,25.35,25.55,0.1,0.39,0.79,"12,917","4,637",2.79,3.29,407,761,"1,669","2,837",26.6,-45,"1,843",-4,17,0.92
10月13日,25.45,25.55,25.25,25.45,-0.2,-0.78,1.17,"13,445","5,952",2.26,3.42,"-3,527",629,"1,471","-1,427",26.6,7,"1,888",-10,21,1.11
10月12日,25.5,25.65,25.25,25.65,0.15,0.59,1.57,"18,211","7,172",2.54,4.65,"7,442",29.9,333,"7,805",26.6,0,"1,881",-5,31,1.65
10月11日,25,25.5,25,25.5,0.7,2.82,2.02,"30,035","10,773",2.79,7.6,"13,155",391,583,"14,128",26.6,-203,"1,881",0,36,1.91
10月6日,24.6,24.85,24.6,24.8,0.25,1.02,1.02,"6,518","2,869",2.27,1.61,-5.71,927,582,"1,503",26.5,-24,"2,084",0,36,1.73
10月5日,24.3,24.6,24.25,24.55,0.3,1.24,1.44,"8,627","3,801",2.27,2.12,-650,170,347,-133,26.5,45,"2,108",5,36,1.71
