交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月10日,111.5,114,110.5,112.5,0.5,0.45,3.12,"12,215","6,524",1.87,13.7,"-2,446",211,-47.3,"-2,282",38.7,-332,"24,871",16,634,2.55
11月9日,111,113.5,108.5,112,-1.5,-1.32,4.41,"28,038","12,688",2.21,31.2,-707,375,-35.2,-367,38.8,"-1,162","25,203",46,618,2.45
11月8日,111,116.5,111,113.5,3,2.71,4.98,"26,237","14,426",1.82,30,"-4,464",-85,895,"-3,654",38.8,-90,"26,365",-144,572,2.17
11月7日,110.5,111,109.5,110.5,-0.5,-0.45,1.35,"10,872","6,428",1.69,12,"-4,181",326,114,"-3,741",39,-120,"26,455",-27,716,2.71
11月6日,111,111.5,110,111,2,1.83,1.38,"13,451","7,366",1.83,14.9,-978,148,305,-525,39.2,-289,"26,575",-50,743,2.8
11月3日,110,111.5,108.5,109,0.5,0.46,2.76,"19,300","10,291",1.88,21.2,"-2,680",447,22,"-2,211",39.3,-325,"26,864",242,793,2.95
11月2日,107,110,106.5,108.5,5,4.83,3.38,"26,756","13,491",1.98,29.1,"-1,011","1,979",275,"1,242",39.4,417,"27,189",7,551,2.03
11月1日,101,104.5,100,103.5,3.5,3.5,4.5,"29,099","13,127",2.22,29.9,261,"2,110",-593,"1,779",39.5,-67,"26,772",-94,544,2.03
10月31日,108,108.5,100,100,-7,-6.54,7.94,"49,048","24,872",1.97,50.6,"-10,621","2,162",622,"-7,838",39.5,-488,"26,839",240,638,2.38
10月30日,108,109.5,106,107,-1.5,-1.38,3.23,"16,068","8,207",1.96,17.2,"-3,477",559,"-1,701","-4,619",39.9,"1,475","27,327",12,398,1.46
10月27日,108,110,107.5,108.5,1.5,1.4,2.34,"11,164","6,042",1.85,12.2,-505,319,-148,-333,40,-374,"25,852",21,386,1.49
10月26日,106,108,105.5,107,-2,-1.83,2.29,"11,666","6,720",1.74,12.5,-895,244,32.3,-619,40.1,-221,"26,226",32,365,1.39
10月25日,110,110,108,109,0,0,1.83,"19,170","8,438",2.27,20.9,120,633,-75.2,677,40.1,752,"26,447",-14,333,1.26
10月24日,107.5,109.5,106.5,109,3,2.83,2.83,"24,490","12,429",1.97,26.6,"4,301",995,-107,"5,189",40.2,474,"25,695",2,347,1.35
10月23日,107,108.5,105,106,-2,-1.85,3.24,"21,933","9,728",2.25,23.4,"5,443","-2,919",368,"2,892",40,"1,780","25,221",-251,345,1.37
10月20日,106,108.5,103,108,1,0.93,5.14,"28,072","13,103",2.14,29.9,841,873,215,"1,929",39.8,"1,402","23,441",220,596,2.54
10月19日,105.5,108,105,107,1,0.94,2.83,"17,654","8,618",2.05,18.8,480,-58,675,"1,096",39.8,27,"22,039",14,376,1.71
10月18日,107.5,109.5,103.5,106,-3.5,-3.2,5.48,"35,318","16,902",2.09,37.4,"5,744",-383,533,"5,894",39.8,"-2,014","22,012",-260,362,1.64
10月17日,112.5,114,108,109.5,-3.5,-3.1,5.31,"38,947","21,147",1.84,42.8,"4,842","-3,283",400,"1,960",39.5,-351,"24,026",283,622,2.59
10月16日,114,115,112.5,113,-2.5,-2.16,2.16,"17,853","9,395",1.9,20.2,"2,468","-3,262",560,-233,39.3,-295,"24,377",17,339,1.39
10月13日,121,121.5,113.5,115.5,-7,-5.71,6.53,"35,187","23,216",1.52,40.9,"-4,968",-717,-95.1,"-5,781",39.2,203,"24,672",-279,322,1.31
