交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月10日,64.8,65.1,64.6,64.9,-0.4,-0.61,0.77,"3,008","1,978",1.52,1.95,555,305,-72,788,28.9,-42,"1,903",48,95,4.99
11月9日,64.6,65.3,64.3,65.3,0.8,1.24,1.55,"5,367","2,706",1.98,3.49,"1,955",259,65.3,"2,280",28.9,-50,"1,945",3,47,2.42
11月8日,64.3,64.5,63.8,64.5,0.2,0.31,1.09,"3,364","1,790",1.88,2.16,"1,131",-9.43,7.02,"1,128",28.8,-7,"1,995",2,44,2.21
11月7日,64.5,64.6,64.1,64.3,-0.5,-0.77,0.77,"3,691","2,157",1.71,2.37,366,214,28.1,608,28.8,8,"2,002",-2,42,2.1
11月6日,64.6,64.9,64,64.8,0.8,1.25,1.41,"6,179","3,345",1.85,4,"1,881",-23.2,21,"1,879",28.8,-20,"1,994",1,44,2.21
11月3日,63.3,64,63.2,64,0.8,1.27,1.27,"3,751","2,466",1.52,2.39,384,315,2.68,702,28.8,-24,"2,014",2,43,2.14
11月2日,63,63.4,62.6,63.2,1.1,1.77,1.29,"4,446","2,994",1.49,2.81,239,524,5.13,769,28.8,9,"2,038",9,41,2.01
11月1日,62,62.5,61.7,62.1,0.2,0.32,1.29,"4,736","3,211",1.47,2.94,-366,701,80.2,416,28.8,-36,"2,029",5,32,1.58
10月31日,61.2,62.5,61.2,61.9,0.6,0.98,2.12,"8,322","4,316",1.93,5.16,727,541,181,"1,449",28.8,-41,"2,065",4,27,1.31
10月30日,62.3,62.5,61.1,61.3,-0.9,-1.45,2.25,"10,173","7,486",1.36,6.27,"-2,201",692,151,"-1,359",28.8,117,"2,106",1,23,1.09
10月27日,62.4,62.8,62.2,62.2,-0.3,-0.48,0.96,"6,493","4,485",1.45,4.05,"-2,275",-167,56,"-2,386",28.9,17,"1,989",1,22,1.11
10月26日,62.7,63.1,62.5,62.5,-0.6,-0.95,0.95,"6,619","5,155",1.28,4.15,"-3,289",159,-42.1,"-3,173",28.9,-40,"1,972",-2,21,1.06
10月25日,63.3,63.6,63.1,63.1,-0.2,-0.32,0.79,"6,013","4,487",1.34,3.81,"-3,430",430,95.2,"-2,904",28.9,60,"2,012",0,23,1.14
10月24日,63.3,63.9,63.2,63.3,-0.4,-0.63,1.1,"5,747","4,429",1.3,3.64,"-2,495",381,30.3,"-2,083",29,32,"1,952",-3,23,1.18
10月23日,64,64.3,63.5,63.7,-0.7,-1.09,1.24,"7,149","5,522",1.29,4.56,"-4,785",139,85.5,"-4,561",29,62,"1,920",5,26,1.35
10月20日,64.3,64.8,64,64.4,-0.8,-1.23,1.23,"8,102","5,072",1.6,5.22,"-3,923",540,129,"-3,254",29.1,4,"1,858",-27,21,1.13
10月19日,65.5,66.2,65.2,65.2,-1.9,-2.83,1.49,"7,952","4,974",1.6,5.21,"-3,854",282,682,"-2,889",29.1,102,"1,854",-287,48,2.59
10月18日,65.6,67.1,64.8,67.1,1.1,1.67,3.48,"22,152","5,921",3.74,14.7,"-3,317",239,"1,446","-1,632",29.2,11,"1,752",266,335,19.1
10月17日,65.6,66.1,65.4,66,-0.1,-0.15,1.06,"6,631","4,267",1.55,4.36,"-1,348",128,482,-738,29.2,4,"1,741",0,69,3.96
10月16日,65.8,66.1,65.5,66.1,-0.2,-0.3,0.9,"4,846","2,976",1.63,3.19,"-1,825",321,493,"-1,011",29.2,15,"1,737",38,69,3.97
