交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月10日,64.3,65.3,63.6,63.7,-0.9,-1.39,2.63,"6,352","4,804",1.32,4.07,"-2,729",-91,-125,"-2,945",16.2,-56,"12,097",34,710,5.87
11月9日,65.2,65.2,64.3,64.6,-0.8,-1.22,1.38,"5,576","3,741",1.49,3.61,"-2,463",-1,4.17,"-2,460",16.3,140,"12,153",32,676,5.56
11月8日,65.9,66,65.3,65.4,-0.5,-0.76,1.06,"4,176","2,949",1.42,2.74,-420,-625,-29.4,"-1,074",16.4,24,"12,013",-11,644,5.36
11月7日,65,66.7,64.8,65.9,0.5,0.76,2.91,"8,668","5,492",1.58,5.73,"-1,672",-871,247,"-2,296",16.4,337,"11,989",-76,655,5.46
11月6日,65.3,65.9,64,65.4,-0.7,-1.06,2.87,"16,237","10,045",1.62,10.6,"-2,491","-2,988",-132,"-5,610",16.4,134,"11,652",52,731,6.27
11月3日,65.9,66.4,65.5,66.1,0.5,0.76,1.37,"6,558","4,270",1.54,4.33,939,"-1,547",-43.5,-652,16.5,-114,"11,518",-41,679,5.9
11月2日,65.5,66.1,65.1,65.6,1.1,1.71,1.55,"8,317","5,571",1.49,5.44,972,"-2,512",41.1,"-1,498",16.4,39,"11,632",-26,720,6.19
11月1日,65.4,65.4,64,64.5,-0.2,-0.31,2.16,"3,450","2,597",1.33,2.23,-575,-295,-123,-993,16.4,110,"11,593",-27,746,6.43
10月31日,65.1,66.3,64.7,64.7,-0.2,-0.31,2.47,"5,049","3,102",1.63,3.29,-284,-2.09,243,-43.2,16.4,-40,"11,483",8,773,6.73
10月30日,64.5,65.4,64.1,64.9,0.1,0.15,2.01,"6,521","5,398",1.21,4.21,"1,553","-3,835",167,"-2,115",16.5,233,"11,523",13,765,6.64
10月27日,66.4,66.4,64.5,64.8,-1.3,-1.97,2.87,"11,710","6,637",1.76,7.61,-579,"-3,848",-231,"-4,657",16.4,-180,"11,290",-173,752,6.66
10月26日,67.3,67.4,66.1,66.1,-1.9,-2.79,1.91,"10,463","7,532",1.39,6.96,"-3,334",131,-495,"-3,698",16.4,125,"11,470",66,925,8.06
10月25日,67.9,68.7,67.9,68,0.2,0.29,1.18,"4,778","2,992",1.6,3.25,-235,44,-11.2,-202,16.5,-146,"11,345",16,859,7.57
10月24日,69.3,69.4,67.4,67.8,-1.8,-2.59,2.87,"9,657","6,560",1.47,6.57,"-3,456",79.2,-455,"-3,832",16.5,10,"11,491",-107,843,7.34
10月23日,70.5,70.7,69.5,69.6,-0.7,-1,1.71,"6,433","3,624",1.78,4.5,188,-11,-540,-363,16.6,74,"11,481",-3,950,8.27
10月20日,69.9,70.8,69.7,70.3,-0.2,-0.28,1.56,"7,926","5,088",1.56,5.56,"1,887",-25.8,-829,"1,032",16.6,-728,"11,407",37,953,8.35
10月19日,69.9,70.9,69.9,70.5,0.3,0.43,1.42,"8,224","4,398",1.87,5.79,939,-63.6,-191,685,16.5,674,"12,135",17,916,7.55
10月18日,71.2,71.5,69.6,70.2,-0.7,-0.99,2.68,"11,880","8,035",1.48,8.34,910,569,-326,"1,153",16.4,-261,"11,461",-19,899,7.84
10月17日,70.5,71.5,70.2,70.9,0.3,0.42,1.84,"11,686","7,105",1.64,8.3,945,610,235,"1,790",16.4,452,"11,722",48,918,7.83
