交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月3日,61.4,62.3,61.4,62.3,1.1,1.8,1.47,"3,596","1,958",1.84,2.23,"2,913",-414,15,"2,514",33.4,-38,"1,304",0,43,3.3
11月2日,61.5,61.7,61.2,61.2,0.4,0.66,0.82,"2,593","1,675",1.55,1.59,538,-396,15.8,158,33.3,-51,"1,342",-1,43,3.2
11月1日,61,61.1,60.8,60.8,-0.1,-0.16,0.49,"2,269","1,473",1.54,1.38,101,37,1.4,140,33.3,36,"1,393",0,44,3.16
10月31日,60.8,61.5,60.8,60.9,0.1,0.16,1.15,"3,505","1,727",2.03,2.14,530,9,15.3,555,33.3,5,"1,357",0,44,3.24
10月30日,61,61.3,60.6,60.8,0,0,1.15,"2,631","1,879",1.4,1.6,-576,118,39.1,-418,33.3,45,"1,352",-1,44,3.25
10月27日,60.9,61.1,60.7,60.8,0.2,0.33,0.66,"1,938","1,405",1.38,1.18,-80.2,66,39.5,25.3,33.3,-7,"1,307",0,45,3.44
10月26日,61.2,61.3,60.6,60.6,-1,-1.62,1.14,"4,647","2,895",1.61,2.83,"-1,587",23,-242,"-1,806",33.3,44,"1,314",0,45,3.42
10月25日,61.9,62.1,61.4,61.6,0,0,1.14,"2,418","1,496",1.62,1.49,298,28.5,-1.75,324,33.3,20,"1,270",0,45,3.54
10月24日,61.6,62,61.4,61.6,0,0,0.97,"2,100","1,339",1.57,1.29,-166,48.9,0.18,-116,33.3,18,"1,250",0,45,3.6
10月23日,62,62.4,61.5,61.6,-0.4,-0.65,1.45,"2,369","1,741",1.36,1.46,-201,11,-3.4,-193,33.3,7,"1,232",3,45,3.65
10月20日,62.5,62.8,61.6,62,-1.2,-1.9,1.9,"4,261","2,314",1.84,2.65,"-1,034",17,-55.3,"-1,072",33.4,18,"1,225",0,42,3.43
10月19日,63.8,64.4,62.8,63.2,-1.6,-2.47,2.47,"4,285","3,043",1.41,2.72,-928,4.07,-61.3,-986,33.4,3,"1,207",-286,42,3.48
10月18日,64.2,64.8,62.8,64.8,1.1,1.73,3.14,"15,319","4,118",3.72,9.83,"1,741",48,291,"2,081",33.4,-53,"1,204",297,328,27.2
10月17日,64.1,64.2,63.5,63.7,-0.1,-0.16,1.1,"3,188","2,526",1.26,2.03,"1,015",0,17.7,"1,033",33.4,-50,"1,257",1,31,2.47
10月16日,63.1,63.9,62.5,63.8,1,1.59,2.23,"4,508","2,857",1.58,2.86,"1,591",84.1,23.7,"1,699",33.4,-3,"1,307",0,30,2.3
10月13日,62.6,62.8,62.3,62.8,-0.2,-0.32,0.79,"3,379","2,256",1.5,2.11,-423,-1,-75.6,-500,33.4,45,"1,310",-2,30,2.29
10月12日,62.3,63,62,63,1.1,1.78,1.62,"4,584","2,652",1.73,2.87,"1,660",5,75.8,"1,741",33.4,-37,"1,265",-2,32,2.53
10月11日,62.1,62.1,61.2,61.9,0.7,1.14,1.47,"4,881","3,165",1.54,3.01,14.3,7,311,332,33.4,24,"1,302",0,34,2.61
10月6日,61.2,61.2,60.6,61.2,0.3,0.49,0.99,"1,885","1,252",1.51,1.15,41.1,102,-7.42,136,33.4,-5,"1,278",0,34,2.66
10月5日,60.4,61.2,60.3,60.9,0.7,1.16,1.5,"2,950","1,667",1.77,1.8,-5.55,29.2,-40.8,-17.1,33.4,2,"1,283",-9,34,2.65
