交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月10日,78,78.1,77.6,77.7,-0.6,-0.77,0.64,"3,368","2,718",1.24,2.62,-426,-36.6,-88.5,-552,31.5,37,"2,939",2,62,2.11
11月9日,78,78.6,77.8,78.3,0.4,0.51,1.03,"3,473","2,071",1.68,2.72,"1,351",-141,30,"1,240",31.5,-9,"2,902",-6,60,2.07
11月8日,78,78,77.6,77.9,-0.2,-0.26,0.51,"3,671","3,097",1.19,2.86,-78.2,-31.7,5.84,-104,31.5,16,"2,911",0,66,2.27
11月7日,78.5,78.5,77.7,78.1,-0.5,-0.64,1.02,"4,727","3,165",1.49,3.68,-468,-14.6,-134,-616,31.5,-60,"2,895",3,66,2.28
11月6日,78.4,79,78,78.6,0.7,0.9,1.28,"6,377","3,691",1.73,5.01,"1,127",-115,142,"1,154",31.6,65,"2,955",0,63,2.13
11月3日,77.9,77.9,77.4,77.9,0.7,0.91,0.65,"4,911","3,135",1.57,3.82,888,14,10,912,31.5,-7,"2,890",13,63,2.18
11月2日,76.7,77.4,76.7,77.2,0.4,0.52,0.91,"4,593","3,289",1.4,3.54,-420,309,5.98,-105,31.5,7,"2,897",2,50,1.73
11月1日,77,77.1,76.8,76.8,-0.2,-0.26,0.39,"5,050","3,858",1.31,3.88,"-2,242",-0.32,-79.9,"-2,322",31.5,43,"2,890",1,48,1.66
10月31日,77.2,77.4,77,77,-0.2,-0.26,0.52,"7,076","4,590",1.54,5.45,"-2,180",20,220,"-1,940",31.5,6,"2,847",1,47,1.65
10月30日,77.4,77.8,77.1,77.2,0,0,0.91,"4,721","3,749",1.26,3.65,"-1,662",138,111,"-1,414",31.6,-11,"2,841",-6,46,1.62
10月27日,77.1,77.5,77.1,77.2,0.1,0.13,0.52,"4,119","2,849",1.45,3.18,-514,79.8,113,-322,31.6,22,"2,852",1,52,1.82
10月26日,77.6,77.6,77,77.1,-0.7,-0.9,0.77,"7,065","6,299",1.12,5.46,"-4,512",-220,-102,"-4,834",31.6,13,"2,830",9,51,1.8
10月25日,78,78.2,77.8,77.8,0,0,0.51,"4,793","4,381",1.09,3.73,"-2,291",-491,61.7,"-2,720",31.7,35,"2,817",-1,42,1.49
10月24日,78.1,78.3,77.8,77.8,-0.3,-0.38,0.64,"7,466","7,366",1.01,5.82,"-4,307",-591,-7.86,"-4,905",31.7,-55,"2,782",17,43,1.55
10月23日,78.5,78.6,78.1,78.1,-0.5,-0.64,0.64,"5,771","5,353",1.08,4.52,"-3,230",-590,84.6,"-3,736",31.8,26,"2,837",1,26,0.92
10月20日,79,79.2,78.5,78.6,-0.7,-0.88,0.88,"6,401","4,530",1.41,5.04,"-2,077",-605,105,"-2,577",31.8,13,"2,811",-10,25,0.89
10月19日,79.6,79.9,79.3,79.3,-0.8,-1,0.75,"5,668","3,708",1.53,4.51,-723,-786,560,-949,31.8,19,"2,798",3,35,1.25
10月18日,80.2,80.2,79.2,80.1,0.2,0.25,1.25,"12,529","4,663",2.69,10,"-1,168",-889,701,"-1,355",31.9,-4,"2,779",-12,32,1.15
10月17日,80,80.3,79.7,79.9,-0.4,-0.5,0.75,"6,857","4,654",1.47,5.47,-669,-568,482,-755,31.9,47,"2,783",0,44,1.58
10月16日,80,80.4,79.8,80.3,-0.2,-0.25,0.75,"4,195","2,615",1.6,3.36,-424,-520,430,-514,31.9,-16,"2,736",11,44,1.61
