交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月10日,80.1,80.5,80,80.3,-0.3,-0.37,0.62,"1,210",976,1.24,0.97,717,-206,-48.1,463,6.68,18,552,1,3,0.54
11月9日,81,81,80.4,80.6,-0.5,-0.62,0.74,"1,081",800,1.35,0.87,507,-400,39.5,146,6.68,9,534,-1,2,0.37
11月8日,80.7,81.1,80.4,81.1,-0.4,-0.49,0.86,"1,082",799,1.35,0.87,218,17,55.1,290,6.67,8,525,-9,3,0.57
11月7日,81.5,81.6,80.9,81.5,0,0,0.86,"1,374","1,063",1.29,1.12,516,-0.32,40,556,6.67,10,517,0,12,2.32
11月6日,81.2,81.7,80.6,81.5,0.6,0.74,1.36,"2,727","1,925",1.42,2.22,"1,602",1.68,13,"1,617",6.67,-17,507,0,12,2.37
11月3日,80,80.9,79.5,80.9,1.4,1.76,1.76,"1,571","1,146",1.37,1.26,"1,074",-115,15.7,975,6.65,-25,524,0,12,2.29
11月2日,79.7,80.3,79.3,79.5,0.5,0.63,1.27,"1,292",987,1.31,1.03,274,-105,28.6,198,6.64,1,549,0,12,2.19
11月1日,79.1,79.2,78.9,79,-0.1,-0.13,0.38,694,667,1.04,0.55,-95.4,31,33,-31.4,6.64,0,548,0,12,2.19
10月31日,78.7,79.6,78.7,79.1,0.1,0.13,1.14,"1,204",713,1.69,0.95,-88.4,4,-4.58,-89,6.64,-17,548,-1,12,2.19
10月30日,79.4,79.5,78.8,79,-0.3,-0.38,0.88,"1,289","1,003",1.28,1.02,-636,89,162,-384,6.64,-4,565,0,13,2.3
10月27日,79,79.4,79,79.3,0.4,0.51,0.51,638,566,1.13,0.51,69.8,48.3,6.31,124,6.65,-4,569,0,13,2.28
10月26日,79.3,79.7,78.8,78.9,-1,-1.25,1.13,"1,851","1,542",1.2,1.46,-551,12,-468,"-1,007",6.64,19,573,0,13,2.27
10月25日,80,80.4,79.6,79.9,-0.2,-0.25,1,"1,127",676,1.67,0.9,189,9,-0.55,197,6.65,-23,554,1,13,2.35
10月24日,80,80.4,79.5,80.1,0.1,0.12,1.13,978,769,1.27,0.78,-102,36,15.4,-50.6,6.65,10,577,0,12,2.08
10月23日,80.7,80.7,80,80,-0.7,-0.87,0.87,"1,012","1,062",0.95,0.81,-377,4,-31.9,-405,6.65,4,567,-3,12,2.12
10月20日,80.4,81.6,80.3,80.7,-0.8,-0.98,1.6,"2,279","1,582",1.44,1.84,-683,507,-38,-214,6.66,-12,563,-2,15,2.66
10月19日,81.6,82.1,81,81.5,-0.6,-0.73,1.34,"1,733","1,968",0.88,1.41,-547,-2,6.82,-542,6.67,4,575,-2,17,2.96
10月18日,81.8,82.5,81.3,82.1,0.3,0.37,1.47,"2,764","2,142",1.29,2.27,519,27,431,977,6.68,0,571,6,19,3.33
10月17日,81.5,81.9,81.1,81.8,0.4,0.49,0.98,"1,775","1,374",1.29,1.45,888,0,-34.1,854,6.67,-57,571,0,13,2.28
10月16日,80.9,81.8,80.8,81.4,1.3,1.62,1.25,"1,844","1,471",1.25,1.5,594,40,5.25,640,6.67,-82,628,2,13,2.07
10月13日,80.2,80.6,80,80.1,-1.3,-1.6,0.74,"1,578","1,281",1.23,1.27,-187,-7.65,-44.4,-239,6.66,30,710,-1,11,1.55
10月12日,81.6,81.7,80.6,81.4,0,0,1.35,"2,914","2,047",1.42,2.36,539,2,99.8,640,6.66,32,680,-1,12,1.76
