交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月3日,17.65,17.75,17.5,17.65,0.1,0.57,1.42,"10,235","3,632",2.82,1.82,"3,383",71,"-1,207","2,247",24.1,-25,"9,669",-6,77,0.8
11月2日,17.4,17.6,17.35,17.55,0.3,1.74,1.45,"11,258","4,608",2.44,1.97,"3,331",108,"-1,306","2,134",24.1,-252,"9,694",-94,83,0.86
11月1日,17.25,17.35,17.15,17.25,0,0,1.16,"6,879","4,254",1.62,1.18,63.4,131,-312,-118,24,-1,"9,946",0,177,1.78
10月31日,17.25,17.35,17.2,17.25,-0.1,-0.58,0.86,"14,923","7,197",2.07,2.57,"-2,329",56,29.4,"-2,243",24,2,"9,947",6,177,1.78
10月30日,17.45,17.45,17.2,17.35,-0.1,-0.57,1.43,"17,073","9,640",1.77,2.96,"-8,788",413,"1,937","-6,437",24.1,128,"9,945",107,171,1.72
10月27日,17.45,17.55,17.45,17.45,0.05,0.29,0.57,"5,918","2,984",1.98,1.03,-28.7,210,150,331,24.1,-101,"9,817",1,64,0.65
10月26日,17.45,17.55,17.4,17.4,-0.2,-1.14,0.85,"14,605","6,281",2.33,2.55,"-6,353",79,"1,397","-4,877",24.1,-2,"9,918",-10,63,0.64
10月25日,17.65,17.65,17.5,17.6,0,0,0.85,"9,535","3,819",2.5,1.68,-887,"1,843",28,984,24.2,-190,"9,920",-12,73,0.74
10月24日,17.6,17.65,17.4,17.6,0,0,1.42,"14,185","6,082",2.33,2.48,"-6,574","2,272",36.6,"-4,266",24.2,2,"10,110",17,85,0.84
10月23日,17.65,17.7,17.55,17.6,-0.15,-0.85,0.85,"14,481","5,453",2.66,2.55,"-6,926","2,938","2,037","-1,951",24.3,389,"10,108",-13,68,0.67
10月20日,17.7,17.8,17.35,17.75,-0.05,-0.28,2.53,"27,788","9,609",2.89,4.89,"-9,961","2,986",823,"-6,151",24.3,-82,"9,719",22,81,0.83
10月19日,17.85,17.9,17.75,17.8,-0.1,-0.56,0.84,"11,767","4,260",2.76,2.1,"-2,994","2,314",105,-575,24.4,11,"9,801",7,59,0.6
10月18日,17.9,17.9,17.8,17.9,0.05,0.28,0.56,"9,766","4,376",2.23,1.74,"1,104",-53,797,"1,848",24.4,-13,"9,790",-8,52,0.53
10月17日,17.9,17.95,17.8,17.85,-0.05,-0.28,0.84,"8,876","4,751",1.87,1.58,"-3,154",0,398,"-2,756",24.4,13,"9,803",0,60,0.61
10月16日,17.8,17.9,17.8,17.9,0,0,0.56,"8,765","4,096",2.14,1.57,210,290,22.3,523,24.5,-30,"9,790",-11,60,0.61
10月13日,18,18.05,17.8,17.9,-0.1,-0.56,1.39,"9,811","4,159",2.36,1.76,"-1,871",-1,529,"-1,343",24.5,5,"9,820",1,71,0.72
10月12日,17.8,18,17.8,18,0.2,1.12,1.12,"14,806","4,654",3.18,2.66,"7,384",24,"-1,611","5,798",24.5,-110,"9,815",10,70,0.71
10月11日,17.55,17.8,17.55,17.8,0.05,0.28,1.41,"28,778","8,389",3.43,5.1,"9,277",24,-281,"9,020",24.4,-70,"9,925",9,60,0.6
10月6日,17.7,17.9,17.65,17.75,0.1,0.57,1.42,"8,270","3,048",2.71,1.47,"1,115",330,"-1,010",435,24.4,-9,"9,995",-40,51,0.51
