交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月3日,32.55,32.95,32.5,32.9,0.55,1.7,1.39,"27,979","7,848",3.57,9.16,-436,480,218,262,20.7,23,"19,174",-14,"4,963",25.9
11月2日,32.3,32.5,32.25,32.35,0.25,0.78,0.78,"25,579","6,161",4.15,8.02,121,304,221,646,20.8,-91,"19,151",8,"4,977",26
11月1日,32.35,32.5,32,32.1,-0.15,-0.47,1.55,"13,676","6,013",2.27,4.4,"-4,053","1,123",-115,"-3,046",21,-113,"19,242",-548,"4,969",25.8
10月31日,32.05,32.35,32.05,32.25,0.25,0.78,0.94,"34,975","8,015",4.36,11.3,"-1,524",800,-861,"-1,585",21.1,-292,"19,355",-65,"5,517",28.5
10月30日,31.8,32.1,31.75,32,0.15,0.47,1.1,"15,920","7,148",2.23,5.09,"-4,065",931,-156,"-3,290",21.9,-28,"19,647",-2,"5,582",28.4
10月27日,31.55,32,31.55,31.85,0.4,1.27,1.43,"12,807","6,248",2.05,4.08,-449,379,45,-25.3,22,-350,"19,675",-13,"5,584",28.4
10月26日,31.55,31.6,31.4,31.45,-0.1,-0.32,0.63,"15,949","8,445",1.89,5.02,"-5,287",431,-197,"-5,052",22.1,208,"20,025",-24,"5,597",28
10月25日,31.65,31.85,31.5,31.55,0.05,0.16,1.11,"19,646","10,635",1.85,6.22,"-6,061",577,-778,"-6,262",17,9,"19,817",3,"5,621",28.4
10月24日,31.75,31.75,31.35,31.5,-0.15,-0.47,1.26,"24,067","11,612",2.07,7.59,"-10,406",457,384,"-9,564",18,357,"19,808",-11,"5,618",28.4
10月23日,31.7,31.9,31.55,31.65,-0.1,-0.31,1.1,"14,151","9,106",1.55,4.48,"-7,334",286,37.9,"-7,010",18.1,-71,"19,451",11,"5,629",28.9
10月20日,31.7,31.9,31.4,31.75,-0.15,-0.47,1.57,"33,671","18,546",1.82,10.6,"-15,797","4,718",351,"-10,728",18.2,24,"19,522",-53,"5,618",28.8
10月19日,32.2,32.25,31.7,31.9,-0.55,-1.69,1.69,"67,331","33,937",1.98,21.2,"-34,307","3,589",352,"-30,367",18.7,806,"19,498",44,"5,671",29.1
10月18日,32.65,32.75,32.3,32.45,-1,-2.99,1.35,"110,992","30,818",3.6,35.7,"-27,730","1,146","1,088","-25,496",19.2,246,"18,692",233,"5,627",30.1
10月17日,33.8,33.8,33.3,33.45,-0.15,-0.45,1.49,"18,143","8,426",2.15,6.08,"-2,986",202,324,"-2,460",19.6,-90,"18,446",10,"5,394",29.2
10月16日,33.8,33.9,33.6,33.6,-0.2,-0.59,0.89,"13,519","6,603",2.05,4.55,"-2,240",453,-14.4,"-1,801",19.6,30,"18,536",-37,"5,384",29
10月13日,33.9,34.15,33.7,33.8,0.1,0.3,1.34,"19,060","10,560",1.8,6.47,"-5,452",344,160,"-4,948",19.6,493,"18,506",-96,"5,421",29.3
10月12日,33.2,33.8,33.15,33.7,0.6,1.81,1.96,"20,332","9,266",2.19,6.83,"4,359",9,-425,"3,943",19.7,153,"18,013",4,"5,517",30.6
10月11日,33.15,33.2,32.85,33.1,0.3,0.91,1.07,"16,226","8,001",2.03,5.36,25.9,151,399,575,19.5,-38,"17,860",10,"5,513",30.9
10月6日,32.75,33.1,32.7,32.8,0.05,0.15,1.22,"15,884","6,869",2.31,5.21,"-3,173",490,-107,"-2,789",19.5,112,"17,898",62,"5,503",30.7
