交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月3日,96.6,97,96.5,97,0.4,0.41,0.52,"3,673","2,311",1.59,3.56,362,545,150,"1,058",15,-3,492,0,1,0.2
11月2日,96.5,97,96.2,96.6,0.3,0.31,0.83,"4,416","2,647",1.67,4.27,503,991,6.1,"1,500",15,14,495,-4,1,0.2
11月1日,95.7,96.5,95.6,96.3,0.5,0.52,0.94,"4,894","3,269",1.5,4.71,"1,042",755,133,"1,931",15,31,481,-1,5,1.04
10月31日,94.8,95.8,94.8,95.8,0.8,0.84,1.05,"3,738","1,815",2.06,3.57,"1,453",300,-4.54,"1,748",14.9,-9,450,0,6,1.33
10月30日,95.6,95.7,94.7,95,-0.5,-0.52,1.05,"3,664","2,574",1.42,3.48,279,589,127,995,14.9,0,459,0,6,1.31
10月27日,94.9,95.5,94.9,95.5,0.7,0.74,0.63,"3,063","1,894",1.62,2.92,"1,466",167,11,"1,644",14.9,-2,459,1,6,1.31
10月26日,94.8,95.4,94.4,94.8,-0.1,-0.11,1.05,"3,253","1,859",1.75,3.08,171,106,60.9,337,14.8,-5,461,0,5,1.08
10月25日,94.9,95.1,94.6,94.9,0.1,0.11,0.53,"3,009","1,803",1.67,2.85,-3.24,356,21.6,374,14.8,4,466,0,5,1.07
10月24日,94.4,95,94.3,94.8,0.4,0.42,0.74,"2,530","1,909",1.33,2.4,54.6,362,-0.4,416,14.8,-1,462,0,5,1.08
10月23日,94.5,94.6,94.1,94.4,0.2,0.21,0.53,"2,347","1,656",1.42,2.21,-248,-77,-24.8,-350,14.8,-1,463,1,5,1.08
10月20日,94.5,95,94.2,94.2,-0.7,-0.74,0.84,"5,785","3,299",1.75,5.46,-823,-450,-120,"-1,393",14.8,11,464,-2,4,0.86
10月19日,95.1,95.6,94.6,94.9,-0.7,-0.73,1.05,"5,439","3,303",1.65,5.16,-935,-850,41.6,"-1,743",14.9,2,453,1,6,1.32
10月18日,95.9,96.2,95.2,95.6,0.2,0.21,1.05,"10,182","3,498",2.91,9.74,-922,456,199,-267,14.9,3,451,0,5,1.11
10月17日,95.9,96.2,95.1,95.4,-0.4,-0.42,1.15,"6,919","3,418",2.02,6.62,-921,-399,-13.7,"-1,334",14.9,-4,448,0,5,1.12
10月16日,95.6,96.1,95,95.8,0.2,0.21,1.15,"4,786","2,701",1.77,4.58,-60.3,270,12.1,222,15,-1,452,0,5,1.11
10月13日,95.4,95.8,94.8,95.6,-0.6,-0.62,1.04,"4,144","3,566",1.16,3.95,-624,170,34,-420,15,-25,453,0,5,1.1
10月12日,96.1,96.2,95.3,96.2,0.3,0.31,0.94,"3,876","2,800",1.38,3.72,"1,846",-1,32,"1,877",15,8,478,2,5,1.05
10月11日,95.3,95.9,94.6,95.9,1.7,1.8,1.38,"6,889","4,431",1.55,6.57,"4,680",117,134,"4,931",14.9,-22,470,0,3,0.64
10月6日,94.6,94.6,93.9,94.2,-0.2,-0.21,0.74,"1,612","1,406",1.15,1.52,137,213,1.37,352,14.8,2,492,0,3,0.61
10月5日,94,94.5,93.8,94.4,0.9,0.96,0.75,"2,285","1,636",1.4,2.15,821,115,11.8,948,14.8,-1,490,1,3,0.61
10月4日,93.8,93.9,93.5,93.5,-0.4,-0.43,0.43,"2,612","2,482",1.05,2.45,"-1,682",152,-59,"-1,589",14.8,3,491,0,2,0.41
