交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月3日,547,549,545,549,2,0.37,0.73,"16,673","17,911",0.93,91.3,"1,332",258,-13,"1,577",72,-401,"17,548",-36,342,1.95
11月2日,536,547,535,547,19,3.6,2.27,"31,076","32,075",0.97,168,"10,883",565,275,"11,724",72,-377,"17,949",141,378,2.11
11月1日,533,533,527,528,-1,-0.19,1.13,"14,029","15,452",0.91,74.3,"-4,465",94.7,365,"-4,006",72,210,"18,326",-8,237,1.29
10月31日,535,535,527,529,-3,-0.56,1.5,"28,073","32,067",0.88,149,"-8,403",494,-358,"-8,267",72,113,"18,116",19,245,1.35
10月30日,531,534,528,532,-1,-0.19,1.13,"23,299","24,536",0.95,124,"-9,207",488,378,"-8,341",72,265,"18,003",-30,226,1.26
10月27日,534,536,532,533,2,0.38,0.75,"17,051","14,773",1.15,90.9,"-4,402","1,477",-72.8,"-2,998",72,17,"17,738",-10,256,1.44
10月26日,530,535,530,531,-13,-2.39,0.92,"31,683","45,750",0.69,169,"-12,270",246,"-1,744","-13,768",72.1,487,"17,721",-40,266,1.5
10月25日,544,551,544,544,0,0,1.29,"17,137","12,233",1.4,93.7,-371,651,-142,139,72.1,-99,"17,234",22,306,1.78
10月24日,543,546,540,544,0,0,1.1,"15,762","15,637",1.01,85.6,"-3,341",482,697,"-2,162",72.1,156,"17,333",-3,284,1.64
10月23日,552,553,543,544,-12,-2.16,1.8,"24,173","23,393",1.03,132,"-7,844",980,-295,"-7,158",72.1,732,"17,177",-68,287,1.67
10月20日,549,556,546,556,10,1.83,1.83,"49,144","41,402",1.19,271,"17,391","1,267","-3,286","15,372",72.2,"-1,161","16,445",30,355,2.16
10月19日,540,548,540,546,6,1.11,1.48,"26,999","18,309",1.47,147,"-2,112","1,633","3,165","2,686",72.1,788,"17,606",31,325,1.85
10月18日,549,549,540,540,-11,-2,1.63,"28,848","27,159",1.06,157,"-5,542",860,56.5,"-4,625",72.1,782,"16,818",12,294,1.75
10月17日,550,552,548,551,6,1.1,0.73,"19,463","19,538",1,107,"4,250","1,299",238,"5,787",72.1,-282,"16,036",6,282,1.76
10月16日,546,547,542,545,-8,-1.45,0.9,"21,867","21,225",1.03,119,"-7,099","1,164",763,"-5,173",72.1,272,"16,318",-53,276,1.69
10月13日,550,554,548,553,3,0.55,1.09,"34,705","31,159",1.11,191,"6,950","1,392",224,"8,566",72.1,-508,"16,046",80,329,2.05
10月12日,545,550,544,550,6,1.1,1.1,"36,350","35,333",1.03,199,"12,866",888,422,"14,176",72.1,-779,"16,554",4,249,1.5
10月11日,542,544,540,544,12,2.26,0.75,"61,671","43,385",1.42,335,"18,943",289,"1,072","20,304",72,"-1,354","17,333",79,245,1.41
10月6日,530,533,529,532,4,0.76,0.76,"16,160","14,047",1.15,85.9,461,909,"1,112","2,481",72,22,"18,687",47,166,0.89
10月5日,523,529,523,528,8,1.54,1.15,"25,749","19,027",1.35,136,"-1,232",151,"1,121",40.2,72,203,"18,665",15,119,0.64
10月4日,521,523,519,520,-9,-1.7,0.76,"29,809","49,176",0.61,155,"-13,699",-16.8,-227,"-13,943",72,458,"18,462",-67,104,0.56
10月3日,528,533,528,529,-4,-0.75,0.94,"17,601","17,430",1.01,93.4,"-2,604",-25.6,-75,"-2,705",72,-3,"18,004",85,171,0.95
