交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月10日,25.65,25.8,25.6,25.75,0.05,0.19,0.78,"4,174","2,580",1.62,1.07,"1,972",31,-160,"1,843",17.6,-4,"1,485",0,26,1.75
11月9日,25.85,25.85,25.7,25.7,-0.05,-0.19,0.58,"4,203","2,144",1.96,1.08,-643,-2,162,-483,17.6,-2,"1,489",0,26,1.75
11月8日,25.85,25.85,25.7,25.75,0,0,0.58,"3,591","2,192",1.64,0.92,87.8,-13,13,87.7,17.6,3,"1,491",0,26,1.74
11月7日,25.8,25.85,25.7,25.75,-0.1,-0.39,0.58,"4,355","2,399",1.82,1.12,-232,10,-54.6,-277,17.6,5,"1,488",5,26,1.75
11月6日,25.85,26,25.65,25.85,0.15,0.58,1.36,"10,397","4,132",2.52,2.69,"2,948",6,20,"2,974",17.6,-49,"1,483",4,21,1.42
11月3日,25.65,25.7,25.55,25.7,0.2,0.78,0.59,"5,221","2,796",1.87,1.34,"1,526",44,67,"1,637",17.6,32,"1,532",0,17,1.11
11月2日,25.4,25.65,25.35,25.5,0.25,0.99,1.19,"7,079","3,496",2.02,1.81,491,82,164,738,17.6,-24,"1,500",-1,17,1.13
11月1日,25.15,25.3,25.15,25.25,0.1,0.4,0.6,"3,163","2,374",1.33,0.8,-197,112,-1.51,-87,17.6,3,"1,524",0,18,1.18
10月31日,25.1,25.25,25.1,25.15,0.05,0.2,0.6,"6,430","2,921",2.2,1.62,"-1,271",36,-0.83,"-1,236",17.6,9,"1,521",0,18,1.18
10月30日,25.35,25.4,25.1,25.1,-0.2,-0.79,1.19,"10,671","5,907",1.81,2.68,"-6,747",366,382,"-5,999",17.6,-30,"1,512",0,18,1.19
10月27日,25.2,25.4,25.2,25.3,0.2,0.8,0.8,"3,805","2,328",1.63,0.96,82.4,196,11,289,17.6,-14,"1,542",0,18,1.17
10月26日,25.2,25.3,25.1,25.1,-0.15,-0.59,0.79,"9,849","5,807",1.7,2.48,"-5,253",71,-617,"-5,799",17.7,33,"1,556",4,18,1.16
10月25日,25.4,25.45,25.25,25.25,0,0,0.79,"8,162","4,093",1.99,2.07,"-3,554",69.1,-0.2,"-3,485",17.7,-3,"1,523",-9,14,0.92
10月24日,25.3,25.4,25.25,25.25,-0.05,-0.2,0.59,"7,146","4,471",1.6,1.81,"-2,564",67.9,-76.4,"-2,573",17.7,45,"1,526",0,23,1.51
10月23日,25.4,25.5,25.25,25.3,-0.2,-0.78,0.98,"8,762","5,993",1.46,2.22,"-2,036",35,-53,"-2,053",17.7,11,"1,481",2,23,1.55
10月20日,25.35,25.65,25.2,25.5,-0.15,-0.58,1.75,"15,209","6,613",2.3,3.87,"-3,868",610,-118,"-3,376",17.8,44,"1,470",9,21,1.43
10月19日,25.85,25.9,25.65,25.65,-0.35,-1.35,0.96,"7,652","5,880",1.3,1.97,"-4,049",294,-76,"-3,831",17.8,8,"1,426",0,12,0.84
10月18日,26.1,26.15,25.9,26,-0.05,-0.19,0.96,"5,712","3,306",1.73,1.48,"-1,793",75,987,-731,17.8,-5,"1,418",0,12,0.85
10月17日,26.15,26.15,25.9,26.05,-0.1,-0.38,0.96,"5,750","4,092",1.41,1.5,"-1,647",60,-45.2,"-1,632",17.8,-10,"1,423",-1,12,0.84
10月16日,25.95,26.2,25.9,26.15,0.2,0.77,1.16,"7,673","3,546",2.16,2,-975,173,-7.84,-809,17.8,-8,"1,433",1,13,0.91
