交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月10日,636,638,635,636,-9,-1.4,0.47,94.1,327,0.29,0.6,-24.7,0,-2.58,-27.3,24.7,3,165,0,0,0
11月9日,649,649,641,645,-1,-0.15,1.24,79.1,191,0.41,0.51,-7.1,0,1,-6.1,24.7,-1,162,0,0,0
11月8日,645,646,636,646,3,0.47,1.56,130,328,0.4,0.84,3,-1,0,2,24.7,0,163,0,0,0
11月7日,644,646,638,643,-3,-0.46,1.24,162,361,0.45,1.04,-28.4,1,2,-25.4,24.7,-4,163,0,0,0
11月6日,639,654,630,646,16,2.54,3.81,321,"1,121",0.29,2.08,28.1,18,10,56.1,24.7,-10,167,0,0,0
11月3日,623,630,620,630,13,2.11,1.62,157,382,0.41,0.99,55.4,0,-0.69,54.7,24.7,-10,177,0,0,0
11月2日,611,626,611,617,16,2.66,2.5,165,368,0.45,1.02,52.9,2,-1.01,53.9,24.7,-4,187,0,0,0
11月1日,608,608,600,601,-2,-0.33,1.33,108,280,0.39,0.65,-31,3,3.38,-24.7,24.7,0,191,0,0,0
10月31日,605,610,602,603,-1,-0.17,1.32,248,436,0.57,1.5,-100,2,6.18,-92,24.7,1,191,0,0,0
10月30日,609,615,603,604,-3,-0.49,1.98,276,535,0.52,1.67,-124,7,10.6,-106,24.7,-3,190,0,0,0
10月27日,606,613,606,607,5,0.83,1.16,95.6,272,0.35,0.58,-3.08,4,-0.22,0.7,24.8,-1,193,0,0,0
10月26日,605,610,602,602,-9,-1.47,1.31,354,713,0.5,2.14,-117,2,-22.8,-137,24.8,1,194,0,0,0
10月25日,612,617,610,611,-2,-0.33,1.14,70.8,218,0.32,0.43,-35.4,3,1.73,-30.6,24.8,5,193,0,0,0
10月24日,615,619,607,613,-4,-0.65,1.94,136,351,0.39,0.83,-63.2,1,2.85,-59.4,24.8,1,188,0,0,0
10月23日,614,620,610,617,-1,-0.16,1.62,181,460,0.39,1.11,-6.2,0,-24.7,-30.9,24.8,1,187,0,0,0
10月20日,620,622,606,618,-10,-1.59,2.55,494,960,0.51,3.04,-193,0,-18.2,-211,24.8,5,186,0,0,0
10月19日,631,636,627,628,-7,-1.1,1.42,199,368,0.54,1.25,-109,-6,2.65,-112,24.8,3,181,0,0,0
10月18日,650,650,635,635,-8,-1.24,2.33,174,308,0.57,1.11,-55.4,-3,47.7,-10.8,24.9,-2,178,0,0,0
10月17日,651,651,640,643,-2,-0.31,1.71,165,262,0.63,1.06,2.05,-6,-0.66,-4.61,24.9,-1,180,0,0,0
10月16日,649,649,641,645,-4,-0.62,1.23,167,484,0.35,1.08,-79.1,8.01,3.23,-67.8,24.9,4,181,0,0,0
10月13日,648,657,647,649,-3,-0.46,1.53,190,683,0.28,1.24,9.74,0,-1.12,8.63,24.9,-11,177,-1,0,0
10月12日,653,657,644,652,-2,-0.31,1.99,374,596,0.63,2.44,-51,9,10.7,-31.3,24.9,3,188,1,1,0.53
10月11日,645,657,634,654,26,4.14,3.66,594,908,0.65,3.87,97.2,0,30.2,127,24.9,-13,185,0,0,0
10月6日,636,639,625,628,-7,-1.1,2.2,237,617,0.38,1.49,-64.8,11,1.12,-52.7,24.9,2,198,0,0,0
10月5日,628,640,628,635,14,2.25,1.93,254,474,0.54,1.61,26,1,-0.35,26.6,24.9,-7,196,0,0,0
