交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月3日,77.3,77.5,76.4,76.7,-0.5,-0.65,1.42,"2,704","3,387",0.8,2.08,-537,50,-3.01,-490,34.6,18,"5,642",2,84,1.49
11月2日,77.5,77.8,77,77.2,0.3,0.39,1.04,"3,252","2,591",1.26,2.51,598,53,-29,622,34.7,15,"5,624",1,82,1.46
11月1日,75.8,77.2,75.8,76.9,1.5,1.99,1.86,"3,970","2,920",1.36,3.04,"1,788",372,90.1,"2,250",34.7,-44,"5,609",5,81,1.44
10月31日,77,77,74.9,75.4,-1.1,-1.44,2.75,"7,420","3,334",2.23,5.61,"-2,598",359,336,"-1,903",34.6,-15,"5,653",-2,76,1.34
10月30日,77,77.4,76,76.5,-0.1,-0.13,1.83,"4,141","3,165",1.31,3.17,-839,214,47.9,-577,34.8,13,"5,668",-5,78,1.38
10月27日,77.1,77.8,76.1,76.6,0.2,0.26,2.23,"5,520","2,793",1.98,4.24,258,286,160,704,34.8,-40,"5,655",4,83,1.47
10月26日,76,76.9,76,76.4,-0.6,-0.78,1.17,"4,934","3,214",1.54,3.77,-302,536,217,451,34.8,-56,"5,695",4,79,1.39
10月25日,77.3,77.3,76.5,77,0.2,0.26,1.04,"3,250","2,498",1.3,2.5,181,72.9,88,342,34.8,-18,"5,751",-3,75,1.3
10月24日,75.6,76.9,75.4,76.8,1.4,1.86,1.99,"3,031","2,311",1.31,2.31,"1,232",163,98.2,"1,493",34.8,-47,"5,769",6,78,1.35
10月23日,75.5,76,75.2,75.4,-0.6,-0.79,1.05,"3,694","2,479",1.49,2.79,-18.5,-60.1,152,73.8,34.8,-57,"5,816",3,72,1.24
10月20日,76.1,76.6,75.1,76,-0.6,-0.78,1.96,"5,924","3,722",1.59,4.48,-23.5,-975,311,-688,34.8,-19,"5,873",-9,69,1.17
10月19日,76.4,77.6,76,76.6,-0.3,-0.39,2.08,"5,790","3,329",1.74,4.43,-3.72,-833,993,156,34.8,36,"5,892",-4,78,1.32
10月18日,76.9,77.5,76.3,76.9,-0.1,-0.13,1.56,"7,187","3,658",1.96,5.51,-643,-523,"1,541",375,34.8,-70,"5,856",-6,82,1.4
10月17日,79,79.6,76.5,77,-0.6,-0.77,3.99,"9,633","7,279",1.32,7.47,"-4,306",-554,877,"-3,983",34.9,241,"5,926",-2,88,1.48
10月16日,77.5,78.2,77.3,77.6,-0.3,-0.39,1.16,"4,475","3,320",1.35,3.48,-460,242,617,399,35,-42,"5,685",-3,90,1.58
10月13日,78.6,78.9,77.6,77.9,-1,-1.27,1.65,"4,836","4,508",1.07,3.78,-645,-190,546,-289,35,-74,"5,727",-7,93,1.62
10月12日,78.7,79,78.1,78.9,0.8,1.02,1.15,"5,155","3,359",1.53,4.05,"1,997",71.9,103,"2,172",35,43,"5,801",7,100,1.72
10月11日,78.5,79,77.8,78.1,0.5,0.64,1.55,"8,468","4,870",1.74,6.64,"4,356",-19,340,"4,677",34.9,-204,"5,758",9,93,1.62
10月6日,78,78,77.2,77.6,-0.1,-0.13,1.03,"4,366","2,683",1.63,3.39,-90,185,134,229,34.8,2,"5,962",0,84,1.41
10月5日,76.6,77.8,76.6,77.7,1.5,1.97,1.57,"6,173","3,492",1.77,4.78,"2,884",246,190,"3,320",34.8,-150,"5,960",7,84,1.41
