交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月10日,541,548,540,545,0,0,1.47,593,988,0.6,3.22,66.5,0,41.2,108,50.4,-46,"2,765",-9,268,9.69
11月9日,554,554,542,545,-4,-0.73,2.19,691,"2,025",0.34,3.77,-141,-18.1,-12.2,-171,50.5,26,"2,811",-1,277,9.85
11月8日,559,559,548,549,-8,-1.44,1.97,"1,156","1,726",0.67,6.37,49.4,-1,-98.4,-50,50.5,2,"2,785",-23,278,9.98
11月7日,555,560,552,557,6,1.09,1.45,"2,024","3,491",0.58,11.3,"1,099",6,44,"1,149",50.6,-7,"2,783",34,301,10.8
11月6日,553,555,547,551,2,0.36,1.46,"1,489","2,127",0.7,8.21,566,138,35.9,740,50.3,-95,"2,790",-5,267,9.57
11月3日,551,553,544,549,2,0.37,1.65,"1,320","2,268",0.58,7.24,210,31,-17.6,223,50.2,-128,"2,885",-8,272,9.43
11月2日,545,550,540,547,9,1.67,1.86,"1,997","4,396",0.45,10.9,448,15.1,108,571,50.2,43,"3,013",8,280,9.29
11月1日,533,550,528,538,12,2.28,4.18,"3,510","4,274",0.82,19,203,418,89.9,711,50,92,"2,971",22,272,9.16
10月31日,539,539,522,526,-13,-2.41,3.15,"2,073","6,590",0.31,11,-149,160,-150,-139,50,-51,"2,879",-20,250,8.68
10月30日,532,542,532,539,5,0.94,1.87,"1,412","2,032",0.69,7.61,569,30.5,2.84,602,50,9,"2,930",2,270,9.22
10月27日,521,536,516,534,24,4.71,3.92,"2,773","4,193",0.66,14.7,"1,120",181,-81.6,"1,219",49.8,-156,"2,921",48,268,9.17
10月26日,516,516,507,510,-11,-2.11,1.73,"2,365","7,538",0.31,12.1,-560,-252,-124,-937,49.6,45,"3,077",-18,220,7.15
10月25日,528,529,521,521,-4,-0.76,1.52,"1,072","1,420",0.75,5.61,-437,3,-8.06,-442,49.7,32,"3,032",-17,238,7.85
10月24日,534,534,522,525,-5,-0.94,2.26,"1,193","1,684",0.71,6.27,-140,1,-48.6,-188,49.8,-53,"3,000",-15,255,8.5
10月23日,526,540,525,530,0,0,2.83,"1,097","1,501",0.73,5.83,324,27,-30.5,320,49.8,-60,"3,053",7,270,8.84
10月20日,545,545,528,530,-19,-3.46,3.1,"2,546","20,517",0.12,13.6,-762,1.8,-83.1,-843,49.8,-54,"3,113",-6,263,8.45
10月19日,547,552,542,549,-1,-0.18,1.82,"1,846","2,278",0.81,10.1,-118,4,-68.4,-182,50,-35,"3,167",0,269,8.49
10月18日,547,555,542,550,3,0.55,2.38,"2,982","4,048",0.74,16.4,566,333,-73.7,826,50,39,"3,202",11,269,8.4
10月17日,543,556,543,547,11,2.05,2.43,"3,841","5,678",0.68,21.2,"1,480",67.5,9.41,"1,557",50,-239,"3,163",27,258,8.16
10月16日,538,544,534,536,-6,-1.11,1.85,"1,083","1,785",0.61,5.83,-62.6,58.3,32.4,28.1,49.6,-21,"3,402",-4,231,6.79
10月13日,538,547,535,542,-1,-0.18,2.21,"1,788","2,346",0.76,9.67,-405,57,-23.1,-371,49.7,308,"3,423",2,235,6.87
10月12日,530,545,525,543,16,3.04,3.8,"3,725","5,954",0.63,20,"1,695",30,197,"1,921",49.8,-86,"3,115",27,233,7.48
10月11日,531,532,526,527,2,0.38,1.14,"1,407","1,551",0.91,7.43,487,-3,14.8,498,49.4,-47,"3,201",2,206,6.44
