交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月10日,2110,2120,2085,2095,-35,-1.64,1.64,518,"1,478",0.35,10.9,-120,-1.23,-38.4,-160,35.1,11,"1,291",12,20,1.55
11月9日,2135,2140,2105,2130,0,0,1.64,441,"1,438",0.31,9.37,77.6,-132,-24.7,-79,35.2,10,"1,280",0,8,0.62
11月8日,2145,2155,2125,2130,-20,-0.93,1.4,396,"1,241",0.32,8.47,-60.6,-4.45,-27.8,-92.9,35.1,15,"1,270",0,8,0.63
11月7日,2130,2170,2100,2150,15,0.7,3.28,653,"2,044",0.32,14,124,-2.13,-0.44,122,35.2,-33,"1,255",0,8,0.64
11月6日,2130,2160,2120,2135,35,1.67,1.9,878,"2,371",0.37,18.7,171,-4.13,38.5,205,35,-30,"1,288",-1,8,0.62
11月3日,2100,2110,2040,2100,25,1.2,3.37,618,"1,985",0.31,12.9,81.3,-1.23,47.1,127,34.8,0,"1,318",1,9,0.68
11月2日,2095,2100,2075,2075,10,0.48,1.21,434,"1,159",0.37,9.06,34.1,-21.7,23.8,36.2,34.8,11,"1,318",-1,8,0.61
11月1日,2070,2080,2040,2065,-5,-0.24,1.93,528,"1,512",0.35,10.9,-89.5,-20.6,-5.52,-116,34.8,12,"1,307",-4,9,0.69
10月31日,2065,2130,2065,2070,45,2.22,3.21,"1,624","3,996",0.41,34,449,86.4,-39.1,497,34.9,-18,"1,295",1,13,1
10月30日,2040,2075,2015,2025,5,0.25,2.97,595,"1,698",0.35,12.1,97.5,-29,41.6,110,34.5,3,"1,313",0,12,0.91
10月27日,2005,2025,1995,2020,15,0.75,1.5,373,"1,282",0.29,7.53,-62.5,-37.9,91.1,-9.34,34.4,2,"1,310",0,12,0.92
10月26日,1990,2025,1980,2005,-5,-0.25,2.24,560,"2,460",0.23,11.2,56.4,-81,-0.44,-25,34.4,11,"1,308",1,12,0.92
10月25日,2010,2020,2005,2010,0,0,0.75,295,"1,537",0.19,5.94,-47.3,-14,-10.6,-71.9,34.4,8,"1,297",0,11,0.85
10月24日,2015,2025,1990,2010,-5,-0.25,1.74,544,"2,856",0.19,10.9,-101,-71,-15.8,-188,34.4,26,"1,289",1,11,0.85
10月23日,2050,2050,2010,2015,-15,-0.74,1.97,287,"1,370",0.21,5.82,-36.7,-18,-29.7,-84.4,34.5,-8,"1,263",0,10,0.79
10月20日,2035,2040,2010,2030,-10,-0.49,1.47,461,"1,766",0.26,9.33,-4.14,-96.1,-9.73,-110,34.5,1,"1,271",0,10,0.79
10月19日,2045,2060,2025,2040,-5,-0.24,1.71,540,"2,601",0.21,11,-170,-19,20.1,-169,34.6,4,"1,270",0,10,0.79
10月18日,2095,2110,2040,2045,-50,-2.39,3.34,950,"4,610",0.21,19.6,-383,-1,-72.6,-456,34.6,19,"1,266",3,10,0.79
10月17日,2145,2145,2095,2095,-30,-1.41,2.35,539,"1,969",0.27,11.4,-88.9,-13.1,-14,-116,35.1,-126,"1,247",-5,7,0.56
10月16日,2160,2165,2120,2125,-50,-2.3,2.07,781,"2,360",0.33,16.7,-361,-1.42,-46.1,-408,35.3,96,"1,373",-2,12,0.87
10月13日,2090,2210,2055,2175,25,1.16,7.21,"2,450","6,463",0.38,53,280,173,41.3,494,35.7,-133,"1,277",-9,14,1.1
