交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月3日,202.5,205,199,200,-1,-0.5,2.99,"38,674","27,120",1.43,77.8,"-1,908",-129,-407,"-2,444",24,"-1,087","51,516",-39,"5,088",9.88
11月2日,199.5,204,198,201,10,5.24,3.14,"49,455","29,353",1.68,99.5,"2,033","-1,646",-281,107,24,288,"52,603",29,"5,127",9.75
11月1日,193,194,188,191,2,1.06,3.17,"45,441","26,338",1.73,86.5,"3,577","-2,960",443,"1,060",24,-93,"52,315",-115,"5,098",9.74
10月31日,207,208,189,189,-17,-8.25,9.22,"71,459","50,057",1.43,141,"5,681","-1,246",-715,"3,720",23.9,"-3,766","52,408",-204,"5,213",9.95
10月30日,204,208,203.5,206,3,1.48,2.22,"24,975","13,706",1.82,51.4,"2,222",356,34.2,"2,612",23.7,-405,"56,174",-255,"5,417",9.64
10月27日,206,206.5,201.5,203,0.5,0.25,2.47,"36,587","22,143",1.65,74.6,"-4,265",-85.7,133,"-4,217",23.6,-660,"56,579",-564,"5,672",10
10月26日,202,206,201,202.5,-8,-3.8,2.38,"43,216","24,565",1.76,87.8,"6,271","-2,020","-3,076","1,176",23.7,-869,"57,239",589,"6,236",10.9
10月25日,210,214,207,210.5,1.5,0.72,3.35,"42,225","26,381",1.6,88.8,"-1,550","1,181",439,69.7,23.5,286,"58,108",-11,"5,647",9.72
10月24日,204,209,200.5,209,8.5,4.24,4.24,"54,659","31,841",1.72,112,"-2,434",491,599,"-1,344",23.7,243,"57,822",189,"5,658",9.79
10月23日,201.5,207.5,200,200.5,-4,-1.96,3.67,"43,526","25,878",1.68,88.3,"1,794","-1,916",-615,-737,23.8,"-2,767","57,579",10,"5,469",9.5
10月20日,206,207.5,199,204.5,-4,-1.92,4.08,"87,101","49,163",1.77,177,635,"-4,711",-456,"-4,532",23.7,-649,"60,346",-755,"5,459",9.05
10月19日,207,211,203.5,208.5,-1,-0.48,3.58,"49,450","32,023",1.54,103,"-3,001","-1,636","1,366","-3,272",23.7,996,"60,995",-294,"6,214",10.2
10月18日,217,218,208,209.5,-12,-5.42,4.51,"91,162","59,957",1.52,193,-74.6,"-2,175",-397,"-2,647",23.8,"-1,877","59,999",-127,"6,508",10.8
10月17日,224.5,226.5,218,221.5,0,0,3.84,"44,852","31,292",1.43,99.7,"-3,685",-705,387,"-4,003",23.6,681,"61,876",-63,"6,635",10.7
10月16日,221.5,227,221,221.5,-4.5,-1.99,2.65,"41,180","27,637",1.49,92,"-1,589","-1,536",979,"-2,146",23.7,-534,"61,195",-403,"6,698",10.9
10月13日,238,240,222,226,-12,-5.04,7.56,"81,324","64,126",1.27,185,"-10,589","-4,375",345,"-14,620",23.7,"-2,773","61,729",-497,"7,101",11.5
10月12日,235,244,234.5,238,0,0,3.99,"65,965","45,460",1.45,158,"-5,675","-1,776",430,"-7,021",23.9,"-2,029","64,502",-591,"7,598",11.8
10月11日,262,262,238,238,-16.5,-6.48,9.43,"79,042","60,139",1.31,197,"-4,104",356,"-1,736","-5,484",24,-637,"66,531",-686,"8,189",12.3
10月6日,252,258,251,254.5,5,2,2.81,"58,043","35,291",1.64,148,"-1,234",167,"3,915","2,848",24.2,"1,999","67,168",131,"8,875",13.2
10月5日,252,252.5,248,249.5,-1,-0.4,1.8,"40,064","27,813",1.44,100,"-5,526",393,326,"-4,807",24.2,"2,649","65,169",-117,"8,744",13.4
