交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月3日,17.4,17.4,17.3,17.4,0.1,0.58,0.58,"4,159","1,532",2.71,0.72,-824,595,36,-193,13.5,145,"4,120",0,2,0.05
11月2日,17.3,17.4,17.25,17.3,0,0,0.87,"5,875","2,439",2.41,1.02,167,43,85,295,13.5,136,"3,975",0,2,0.05
11月1日,17.2,17.3,17.1,17.3,0.15,0.87,1.17,"3,976","1,424",2.79,0.69,-172,"1,445",-41,"1,232",13.5,-5,"3,839",-1,2,0.05
10月31日,17.1,17.2,17.05,17.15,0,0,0.87,"5,177","1,968",2.63,0.89,-662,133,-12,-541,13.5,14,"3,844",0,3,0.08
10月30日,17.25,17.25,17.05,17.15,-0.1,-0.58,1.16,"8,293","2,766",3,1.42,"-4,463","1,337",293,"-2,832",13.5,77,"3,830",0,3,0.08
10月27日,17.1,17.25,17.1,17.25,0.2,1.17,0.88,"3,269","1,446",2.26,0.56,492,289,2,783,13.5,-119,"3,753",0,3,0.08
10月26日,17.15,17.15,17.05,17.05,-0.15,-0.87,0.58,"9,581","3,710",2.58,1.64,"-6,955",44,-660,"-7,570",13.5,18,"3,872",-1,3,0.08
10月25日,17.3,17.35,17.2,17.2,0,0,0.87,"4,065","1,717",2.37,0.7,"-2,379",520,10,"-1,849",13.6,10,"3,854",0,4,0.1
10月24日,17.15,17.25,17.15,17.2,0.05,0.29,0.58,"5,548","2,090",2.65,0.95,"-2,519",702,-56.5,"-1,874",13.6,88,"3,844",0,4,0.1
10月23日,17.2,17.25,17.15,17.15,-0.15,-0.87,0.58,"4,824","2,276",2.12,0.83,"-1,590",22,-168,"-1,736",13.6,20,"3,756",1,4,0.11
10月20日,17.25,17.4,17.1,17.3,-0.1,-0.57,1.72,"11,870","3,269",3.63,2.05,"-4,417","2,742",-183,"-1,859",13.6,-17,"3,736",-1,3,0.08
10月19日,17.4,17.45,17.35,17.4,-0.1,-0.57,0.57,"5,323","2,601",2.05,0.93,"-3,230","1,052",37,"-2,142",13.7,29,"3,753",0,4,0.11
10月18日,17.55,17.55,17.4,17.5,0.05,0.29,0.86,"3,950","2,168",1.82,0.69,-889,649,549,309,13.7,53,"3,724",0,4,0.11
10月17日,17.6,17.6,17.4,17.45,-0.15,-0.85,1.14,"6,294","2,336",2.69,1.1,792,247,-56.9,982,13.7,-1,"3,671",0,4,0.11
10月16日,17.45,17.6,17.4,17.6,0.1,0.57,1.14,"7,313","2,249",3.25,1.28,385,819,-19.4,"1,184",13.7,-1,"3,672",0,4,0.11
10月13日,17.45,17.5,17.4,17.5,0,0,0.57,"5,916","1,860",3.18,1.03,-686,206,-37,-517,13.7,-47,"3,673",1,4,0.11
10月12日,17.55,17.55,17.45,17.5,0,0,0.57,"10,565","2,238",4.72,1.85,"2,996",10,107,"3,113",13.7,-17,"3,720",0,3,0.08
10月11日,17.45,17.5,17.35,17.5,0.2,1.16,0.87,"12,956","3,777",3.43,2.26,"4,584",190,597,"5,370",13.7,-40,"3,737",0,3,0.08
10月6日,17.2,17.3,17.15,17.3,0.2,1.17,0.88,"4,556","1,857",2.45,0.79,-322,379,-5,52.1,13.6,26,"3,777",1,3,0.08
10月5日,17.1,17.2,17.1,17.1,0.05,0.29,0.59,"5,839","2,409",2.42,1,"-1,803",409,-150,"-1,544",13.6,33,"3,751",0,2,0.05
