交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月3日,522,539,512,536,25,4.89,5.28,"4,909","4,949",0.99,26.1,-166,"1,145",-260,719,65.6,92,"2,000",67,404,20.2
11月2日,504,522,503,511,13.5,2.71,3.82,"2,939","2,743",1.07,15.1,411,2,-201,212,65.6,-92,"1,908",10,337,17.7
11月1日,508,508,492.5,497.5,-1,-0.2,3.11,"4,186","3,506",1.19,20.8,-884,360,133,-391,65.6,51,"2,000",-30,327,16.4
10月31日,515,528,497.5,498.5,-8.5,-1.68,6.02,"4,352","4,403",0.99,22.4,-508,397,-103,-214,65.8,73,"1,949",8,357,18.3
10月30日,513,517,505,507,-4,-0.78,2.35,"1,529","1,699",0.9,7.8,-152,100,64.1,12.2,65.8,-54,"1,876",0,349,18.6
10月27日,495.5,514,489,511,20,4.07,5.09,"3,831","3,383",1.13,19.3,345,173,-261,257,65.9,49,"1,930",28,349,18.1
10月26日,494.5,508,491,491,-15,-2.96,3.36,"2,249","2,563",0.88,11.2,-101,114,-73.3,-60.8,65.8,-45,"1,881",-6,321,17.1
10月25日,511,517,505,506,-5,-0.98,2.35,"2,089","2,258",0.93,10.6,-612,173,355,-83.9,65.8,-42,"1,926",20,327,17
10月24日,504,511,490,511,11,2.2,4.2,"3,503","3,191",1.1,17.6,-188,-43,256,25.3,66,98,"1,968",-26,307,15.6
10月23日,511,514,498.5,500,-7,-1.38,3.06,"2,442","2,427",1.01,12.3,-482,-122,-79.7,-684,66,33,"1,870",24,333,17.8
10月20日,486,507,486,507,11,2.22,4.23,"3,097","3,004",1.03,15.5,-29.7,73.6,106,150,66.1,-13,"1,837",35,309,16.8
10月19日,477,500,477,496,12,2.48,4.75,"6,947","6,007",1.16,34.4,-339,601,77.3,339,66.1,-14,"1,850",10,274,14.8
10月18日,495,511,481,484,-42,-7.98,5.7,"8,738","8,806",0.99,42.9,335,-726,317,-74,66.2,234,"1,864",-84,264,14.2
10月17日,540,542,523,526,-8,-1.5,3.56,"2,781","2,834",0.98,14.7,120,-80,11.3,51.7,66.1,-105,"1,630",1,348,21.3
10月16日,540,548,528,534,-11,-2.02,3.67,"2,188","4,032",0.54,11.7,-95.2,-24.4,-98.1,-218,66,-44,"1,735",-23,347,20
10月13日,535,551,531,545,15,2.83,3.77,"4,497","4,358",1.03,24.5,-588,361,13.4,-214,66.1,91,"1,779",30,370,20.8
10月12日,534,540,523,530,-6,-1.12,3.17,"3,740","4,391",0.85,19.8,-243,35,43.5,-165,66.2,70,"1,688",-20,340,20.1
10月11日,542,552,532,536,14,2.68,3.83,"6,915","6,706",1.03,37.5,-445,306,-449,-587,66.2,-67,"1,618",22,360,22.2
10月6日,515,527,510,522,6,1.16,3.29,"3,834","4,056",0.95,20,-348,264,51.1,-33,66.3,33,"1,685",-1,338,20.1
10月5日,505,521,498,516,25.5,5.2,4.69,"7,139","7,176",0.99,36.5,"1,313",247,-238,"1,322",66.4,-537,"1,652",73,339,20.5
10月4日,476,491.5,466,490.5,8.5,1.76,5.29,"4,737","4,368",1.08,22.6,-83.8,104,-51.8,-32,66.1,-10,"2,189",-21,266,12.2
10月3日,495.5,499.5,481.5,482,-18,-3.6,3.6,"3,348","3,819",0.88,16.3,-695,193,141,-361,66.1,162,"2,199",-29,287,13.1
10月2日,496,513,496,500,7,1.42,3.45,"3,663","5,057",0.72,18.4,613,244,102,959,66.3,4,"2,037",2,316,15.5
