交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月10日,152.5,152.5,149.5,151,-3.5,-2.27,1.94,"13,159","7,852",1.68,19.8,-318,-568,-60.9,-947,43.3,100,"30,845",-46,580,1.88
11月9日,154.5,155,152,154.5,0,0,1.94,"7,868","5,390",1.46,12.1,-161,-204,78.8,-286,43.3,-48,"30,745",-15,626,2.04
11月8日,153.5,156,153,154.5,1,0.65,1.95,"9,345","6,425",1.45,14.4,140,-584,-122,-566,43.3,-90,"30,793",-122,641,2.08
11月7日,156.5,157,153,153.5,-4.5,-2.85,2.53,"10,586","8,373",1.26,16.4,"-2,169",-580,-9.43,"-2,758",43.4,480,"30,883",52,763,2.47
11月6日,157,159,155,158,2.5,1.61,2.57,"10,812","7,747",1.4,17,"1,793",-166,-377,"1,250",43.5,-448,"30,403",143,711,2.34
11月3日,152,156,151,155.5,4.5,2.98,3.31,"18,387","11,692",1.57,28.3,"4,298",-395,10.4,"3,913",43.3,"-1,123","30,851",60,568,1.84
11月2日,147,151,147,151,6.5,4.5,2.77,"17,285","10,465",1.65,25.8,"1,174",-516,353,"1,011",43,-588,"31,974",-8,508,1.59
11月1日,144.5,146.5,142,144.5,1.5,1.05,3.15,"9,639","6,730",1.43,13.9,-95,-552,84.7,-562,42.9,469,"32,562",34,516,1.58
10月31日,147,148,143,143,-2.5,-1.72,3.44,"13,317","8,971",1.48,19.3,-809,840,-95.1,-64.3,43,-368,"32,093",33,482,1.5
10月30日,146.5,149,145,145.5,-1.5,-1.02,2.72,"14,694","9,819",1.5,21.5,"-1,344",-699,-8.85,"-2,052",43,196,"32,461",2,449,1.38
10月27日,150.5,152,146.5,147,-2,-1.34,3.69,"24,471","12,921",1.89,36.4,-290,"-1,509",205,"-1,595",43.1,-200,"32,265",-63,447,1.39
10月26日,152.5,154,148,149,-8,-5.1,3.82,"30,317","20,493",1.48,45.6,"-4,340","-1,576",-468,"-6,384",43.1,156,"32,465",42,510,1.57
10月25日,159,161.5,156.5,157,0,0,3.18,"14,278","9,586",1.49,22.6,-958,-15,141,-832,43.4,277,"32,309",-28,468,1.45
10月24日,157.5,157.5,152,157,-1.5,-0.95,3.47,"24,650","17,153",1.44,38.2,59,"-1,128",-204,"-1,273",43.5,-230,"32,032",-35,496,1.55
10月23日,158.5,162.5,158.5,158.5,-2.5,-1.55,2.48,"8,938","6,232",1.43,14.3,-541,-153,-144,-839,43.5,-183,"32,262",-32,531,1.65
10月20日,157.5,161,155.5,161,1,0.62,3.44,"11,635","9,063",1.28,18.4,-174,-653,-93.9,-920,43.5,-300,"32,445",-5,563,1.74
10月19日,157.5,161.5,156,160,0,0,3.44,"14,288","9,263",1.54,22.8,-84.7,-474,167,-392,43.5,"-1,502","32,745",-8,568,1.73
10月18日,165.5,166,159.5,160,-6.5,-3.9,3.9,"20,956","14,598",1.44,33.8,"-4,393",-596,-764,"-5,753",43.5,-167,"34,247",-81,576,1.68
10月17日,167.5,170,166,166.5,2,1.22,2.43,"13,419","9,692",1.38,22.5,"2,602","-1,029",114,"1,688",43.8,-510,"34,414",73,657,1.91
10月16日,167.5,168,162,164.5,-4.5,-2.66,3.55,"20,909","16,641",1.26,34.4,"2,384","-1,770",-291,323,43.7,-538,"34,924",-64,584,1.67
