交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月10日,18.3,18.5,18.3,18.45,0,0,1.08,"8,344","3,486",2.39,1.54,"3,138",707,-78,"3,767",25.4,-240,"3,088",20,170,5.51
11月9日,18.4,18.45,18.3,18.45,0.05,0.27,0.82,"8,699","2,718",3.2,1.6,"1,716",730,-4,"2,442",25.3,-74,"3,328",1,150,4.51
11月8日,18.4,18.5,18.3,18.4,0.05,0.27,1.09,"9,425","2,600",3.63,1.73,"1,856",-693,-54,"1,109",25.3,-230,"3,402",0,149,4.38
11月7日,18.4,18.45,18.25,18.35,-0.1,-0.54,1.08,"9,628","2,769",3.48,1.77,"-1,663",277,-178,"-1,564",25.3,547,"3,632",8,149,4.1
11月6日,18.5,18.55,18.35,18.45,0.05,0.27,1.09,"17,808","4,857",3.67,3.29,"4,490",-522,-59.4,"3,908",25.3,-17,"3,085",13,141,4.57
11月3日,18.25,18.4,18.2,18.4,0.25,1.38,1.1,"10,931","3,819",2.86,2,"4,577",854,112,"5,543",25.3,-82,"3,102",0,128,4.13
11月2日,18.1,18.25,18.05,18.15,0.15,0.83,1.11,"9,428","3,756",2.51,1.71,"1,106",405,235,"1,746",25.2,-218,"3,184",25,128,4.02
11月1日,17.9,18.15,17.8,18,0.15,0.84,1.96,"11,446","3,218",3.56,2.06,-419,"2,003",241,"1,825",25.2,368,"3,402",-32,103,3.03
10月31日,17.7,17.9,17.7,17.85,0.15,0.85,1.13,"13,688","2,807",4.88,2.44,"1,323","1,575",736,"3,634",25.2,-358,"3,034",-1,135,4.45
10月30日,17.95,17.95,17.6,17.7,-0.25,-1.39,1.95,"18,464","6,527",2.83,3.27,"-5,789","1,855",434,"-3,500",25.2,-123,"3,392",46,136,4.01
10月27日,17.85,18,17.8,17.95,0.1,0.56,1.12,"11,604","4,218",2.75,2.08,"-1,318",529,217,-572,25.3,13,"3,515",0,90,2.56
10月26日,17.85,18.05,17.8,17.85,-0.2,-1.11,1.39,"14,309","5,007",2.86,2.56,"-1,534",199,566,-769,25.3,-152,"3,502",1,90,2.57
10月25日,18.2,18.25,18,18.05,-0.1,-0.55,1.38,"8,730","4,417",1.98,1.58,"-2,729","1,312",252,"-1,165",25.3,369,"3,654",0,89,2.44
10月24日,18.15,18.2,18,18.15,0,0,1.1,"10,556","3,643",2.9,1.91,"-1,909",982,14,-913,25.4,209,"3,285",1,89,2.71
10月23日,18.05,18.25,18.05,18.15,-0.05,-0.27,1.1,"17,346","4,346",3.99,3.15,510,976,650,"2,136",25.4,4,"3,076",0,88,2.86
10月20日,18.15,18.3,17.85,18.2,-0.2,-1.09,2.45,"33,165","9,708",3.42,6.01,"-7,156","7,210",754,808,25.4,236,"3,072",5,88,2.86
10月19日,18.35,18.55,18.25,18.4,-0.1,-0.54,1.62,"22,990","6,573",3.5,4.24,-900,"6,230","3,781","9,111",25.4,20,"2,836",1,83,2.93
10月18日,18.6,18.6,18.4,18.5,-0.1,-0.54,1.08,"23,612","6,578",3.59,4.37,"-1,253",-247,"5,932","4,432",25.4,19,"2,816",9,82,2.91
10月17日,18.5,18.6,18.45,18.6,0.2,1.09,0.82,"18,648","7,933",2.35,3.46,"8,199",547,"2,973","11,719",25.4,-5,"2,797",1,73,2.61
10月16日,18.4,18.5,18.3,18.4,-0.1,-0.54,1.08,"14,647","5,794",2.53,2.69,"2,109",929,"2,191","5,230",25.4,-20,"2,802",3,72,2.57
