交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月10日,24.4,24.55,24.35,24.5,0.05,0.2,0.82,"15,151","4,552",3.33,3.71,"10,096",3,-123,"9,976",30.4,-2,"5,245",1,19,0.36
11月9日,24.55,24.55,24.45,24.45,-0.1,-0.41,0.41,"8,664","3,314",2.61,2.12,"3,351",-19,86,"3,418",30.3,-21,"5,247",1,18,0.34
11月8日,24.65,24.7,24.45,24.55,0.05,0.2,1.02,"17,165","5,014",3.42,4.21,"4,273",-270,59,"4,062",30.3,3,"5,268",3,17,0.32
11月7日,24.4,24.5,24.3,24.5,-0.05,-0.2,0.81,"14,062","6,644",2.12,3.44,-0.94,14,10,23.1,30.3,39,"5,265",1,14,0.27
11月6日,24.55,24.75,24.4,24.55,0.2,0.82,1.44,"23,750","9,407",2.52,5.83,"12,317",5,-17.5,"12,304",30.3,-127,"5,226",0,13,0.25
11月3日,24.2,24.5,24.2,24.35,0.2,0.83,1.24,"16,198","5,552",2.92,3.94,"4,916",60,62,"5,038",30.2,-36,"5,353",0,13,0.24
11月2日,24.05,24.3,24,24.15,0.3,1.26,1.26,"12,925","5,470",2.36,3.12,"6,206",111,190,"6,507",30.2,-14,"5,389",-4,13,0.24
11月1日,23.85,23.95,23.8,23.85,0,0,0.63,"7,621","4,511",1.69,1.82,-107,163,-31,24.8,30.1,23,"5,403",0,17,0.31
10月31日,23.85,24,23.8,23.85,0,0,0.84,"14,263","5,651",2.52,3.4,"-2,160",51,-121,"-2,230",30.1,57,"5,380",2,17,0.32
10月30日,23.95,24,23.8,23.85,-0.15,-0.62,0.83,"13,251","7,933",1.67,3.16,"-5,600",456,576,"-4,568",30.1,50,"5,323",0,15,0.28
10月27日,23.85,24.05,23.85,24,0.2,0.84,0.84,"6,533","4,211",1.55,1.56,760,265,15,"1,040",30.2,-11,"5,273",1,15,0.28
10月26日,23.9,24,23.8,23.8,-0.15,-0.63,0.84,"15,841","7,817",2.03,3.78,"-6,438",98,-653,"-6,994",30.2,13,"5,284",8,14,0.26
10月25日,24,24.05,23.95,23.95,0,0,0.42,"10,999","6,022",1.83,2.64,"-2,890",58.4,0.46,"-2,831",30.2,253,"5,271",-7,6,0.11
10月24日,24,24.05,23.9,23.95,-0.1,-0.42,0.62,"11,512","5,738",2.01,2.76,"-3,577",-126,-85.6,"-3,789",30.3,-12,"5,018",-13,13,0.26
10月23日,24,24.1,23.9,24.05,0.05,0.21,0.83,"11,717","7,191",1.63,2.81,"-2,932",-125,-111,"-3,168",30.3,255,"5,030",0,26,0.52
10月20日,24,24.2,23.85,24,-0.2,-0.83,1.45,"24,296","10,473",2.32,5.83,"-8,846","1,220",-247,"-7,873",30.3,193,"4,775",-6,26,0.54
10月19日,24.3,24.4,24.2,24.2,-0.3,-1.22,0.82,"12,717","6,843",1.86,3.09,"-5,021","1,055",44.4,"-3,922",30.4,2,"4,582",0,32,0.7
10月18日,24.7,24.7,24.4,24.5,-0.2,-0.81,1.21,"9,627","5,756",1.67,2.36,"-3,129",123,"1,062","-1,944",30.4,-15,"4,580",-11,32,0.7
10月17日,24.65,24.7,24.6,24.7,0,0,0.4,"13,254","8,044",1.65,3.27,921,90,-61,950,30.4,-6,"4,595",0,43,0.94
10月16日,24.65,24.7,24.55,24.7,0.05,0.2,0.61,"11,801","6,285",1.88,2.91,"2,440",243,8.57,"2,691",30.4,14,"4,601",2,43,0.93
