交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月10日,409,412,406.5,407.5,-5,-1.21,1.33,"1,121","1,239",0.9,4.58,-296,31.1,-36.8,-301,45.6,-91,"2,860",-5,111,3.88
11月9日,415,416.5,407,412.5,-2.5,-0.6,2.29,"1,574","1,776",0.89,6.48,-275,-74.7,-0.87,-351,45.6,-9,"2,951",10,116,3.93
11月8日,410,419.5,406.5,415,9,2.22,3.2,"4,019","3,524",1.14,16.7,"1,662",-145,-42.8,"1,475",45.7,21,"2,960",1,106,3.58
11月7日,411,411,404,406,-4.5,-1.1,1.71,"1,431","1,638",0.87,5.82,144,-45.6,-11.2,87.7,45.5,-100,"2,939",-13,105,3.57
11月6日,409.5,414,407,410.5,5,1.23,1.73,"2,000","2,187",0.91,8.22,362,-37.5,-20.7,304,45.4,199,"3,039",-4,118,3.88
11月3日,408.5,411,404,405.5,-2.5,-0.61,1.72,"1,901","2,070",0.92,7.73,-334,76,-83,-341,45.3,66,"2,840",43,122,4.3
11月2日,410,413,405.5,408,2.5,0.62,1.85,"1,738","1,863",0.93,7.09,-379,168,-8.11,-219,45.4,34,"2,774",-42,79,2.85
11月1日,403.5,408,401,405.5,4,1,1.74,"1,343","1,381",0.97,5.45,-258,281,19.8,42.6,45.4,-7,"2,740",7,121,4.42
10月31日,406,409,400.5,401.5,-3.5,-0.86,2.1,"1,950","1,777",1.1,7.87,-576,738,-3.94,158,45.5,-4,"2,747",2,114,4.15
10月30日,386.5,406,386.5,405,13.5,3.45,4.98,"2,126","2,521",0.84,8.54,526,74.7,67.3,668,45.7,-95,"2,751",23,112,4.07
10月27日,390,394,382,391.5,-1.5,-0.38,3.05,"3,442","4,160",0.83,13.4,-758,-59,-108,-925,45.6,53,"2,846",-17,89,3.13
10月26日,397,399,393,393,-8.5,-2.12,1.49,"2,369","2,836",0.84,9.38,-667,142,-1.42,-527,45.7,11,"2,793",4,106,3.8
10月25日,396,404.5,396,401.5,6,1.52,2.15,"1,274","1,443",0.88,5.12,-144,152,23.7,31.5,45.8,-26,"2,782",8,102,3.67
10月24日,390.5,398,389,395.5,-1,-0.25,2.27,"2,791","3,336",0.84,11,-823,-117,-55.9,-997,45.8,38,"2,808",15,94,3.35
10月23日,407.5,408.5,396,396.5,-26.5,-6.26,2.96,"5,720","6,589",0.87,22.9,"-1,914",-67,-135,"-2,116",46,51,"2,770",27,79,2.85
10月20日,415.5,423.5,413,423,1.5,0.36,2.49,"2,048","2,268",0.9,8.6,183,224,58.8,466,46.4,-9,"2,719",-5,52,1.91
10月19日,414.5,422,413,421.5,7.5,1.81,2.17,"1,510","1,778",0.85,6.32,123,41.5,229,393,46.3,5,"2,728",4,57,2.09
10月18日,414,419,411,414,-1.5,-0.36,1.93,"2,233","2,149",1.04,9.27,-197,159,244,206,46.4,-7,"2,723",7,53,1.95
10月17日,423,424,415,415.5,-7.5,-1.77,2.13,"2,238","2,697",0.83,9.38,-174,162,62.5,50.5,46.4,-58,"2,730",-9,46,1.68
10月16日,419,426.5,418,423,1,0.24,2.01,"2,248","2,606",0.86,9.51,-142,281,72.5,212,46.5,-14,"2,788",2,55,1.97
10月13日,416,423.5,413,422,2.5,0.6,2.5,"2,790","2,649",1.05,11.7,428,6,140,574,46.6,-15,"2,802",-9,53,1.89
