交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月3日,334.5,342.5,334,338.5,7,2.11,2.56,583,806,0.72,1.97,172,0,-1.68,170,41.3,-12,109,0,0,0
11月2日,325,333,321.5,331.5,0,0,3.47,"1,332","1,604",0.83,4.39,-463,6.33,16.3,-441,41.2,-1,121,0,0,0
11月1日,333,334.5,331,331.5,0,0,1.06,738,741,1,2.45,-128,5.33,-0.67,-123,41.3,0,122,0,0,0
10月31日,330.5,334,330,331.5,-1,-0.3,1.2,996,859,1.16,3.3,-445,5,-1.13,-441,41.3,7,122,0,0,0
10月30日,331.5,336.5,331.5,332.5,-1,-0.3,1.5,459,649,0.71,1.53,-72.3,17.7,12,-42.7,41.4,1,115,0,0,0
10月27日,333,336.5,332,333.5,3,0.91,1.36,325,500,0.65,1.09,-54.6,9,-0.4,-46,41.4,-7,114,0,0,0
10月26日,336,336,328,330.5,-5.5,-1.64,2.38,"1,041","1,243",0.84,3.45,-373,4.98,-36.6,-405,41.4,5,121,0,0,0
10月25日,337.5,339,335.5,336,0,0,1.04,513,660,0.78,1.73,-286,3,0.06,-283,41.4,-2,116,0,0,0
10月24日,333,336,330.5,336,3,0.9,1.65,549,735,0.75,1.83,-148,8,1.82,-138,41.5,-3,118,0,0,0
10月23日,326,333.5,325,333,0,0,2.55,"1,009","1,305",0.77,3.34,-254,-195,-5.72,-455,41.5,0,121,0,0,0
10月20日,334,336.5,330,333,-6,-1.77,1.92,"1,159","1,533",0.76,3.86,-597,-16.3,-2.68,-616,41.5,3,121,0,0,0
10月19日,340.5,342,335,339,-4,-1.17,2.04,"1,158","1,565",0.74,3.92,-199,0,6.42,-193,41.6,3,118,0,0,0
10月18日,352,352.5,341,343,0,0,3.35,"1,107","1,124",0.98,3.82,4.72,-3,65.3,67,41.6,2,115,0,0,0
10月17日,346,346.5,342,343,-1.5,-0.44,1.31,644,730,0.88,2.22,-145,0.33,-2.63,-147,41.6,0,113,0,0,0
10月16日,346,346.5,342,344.5,-0.5,-0.14,1.3,535,790,0.68,1.84,141,10.1,3.63,155,41.7,-7,113,0,0,0
10月13日,348.5,350,343.5,345,-8,-2.27,1.84,919,"1,045",0.88,3.18,-451,-20,15.1,-456,41.6,2,120,0,0,0
10月12日,347,354,344,353,9.5,2.77,2.91,"1,405","1,503",0.93,4.93,2.59,57,8.22,67.8,41.7,0,118,0,0,0
10月11日,350,350,334,343.5,-2,-0.58,4.63,"2,426","2,236",1.09,8.31,-644,1.8,32.7,-610,41.7,-2,118,0,0,0
10月6日,349,350,345,345.5,-0.5,-0.14,1.45,312,588,0.53,1.08,-89.9,13,1.21,-75.7,41.8,1,120,0,0,0
10月5日,347.5,349.5,345,346,2.5,0.73,1.31,585,678,0.86,2.03,3.09,5,2.25,10.3,41.8,-3,119,0,0,0
10月4日,341,345.5,340.5,343.5,0,0,1.46,663,808,0.82,2.27,-121,1.74,-27.8,-147,41.8,-2,122,0,0,0
10月3日,341.5,346,341.5,343.5,-1,-0.29,1.31,445,601,0.74,1.53,-55,-19.5,14,-60.4,41.8,-6,124,0,0,0
10月2日,344,347,342.5,344.5,-0.5,-0.14,1.3,804,831,0.97,2.77,-188,9,-0.01,-179,41.8,13,130,0,0,0
9月28日,346.5,351,343.5,345,-1.5,-0.43,2.16,"1,117",945,1.18,3.86,148,4,0.13,152,41.8,-6,117,0,0,0
