交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月3日,26.5,26.75,26.35,26.7,0.35,1.33,1.52,"10,236","3,900",2.62,2.72,"4,767",599,78.2,"5,444",23.7,11,"1,487",4,91,6.12
11月2日,26.3,26.5,26.25,26.35,0.2,0.76,0.96,"7,037","3,315",2.12,1.86,600,387,149,"1,136",23.6,-120,"1,476",-15,87,5.89
11月1日,26,26.3,25.95,26.15,0.25,0.97,1.35,"5,796","2,860",2.03,1.51,-93.5,"1,421",-1.96,"1,325",23.6,-24,"1,596",38,102,6.39
10月31日,25.9,26,25.85,25.9,0,0,0.58,"8,702","3,309",2.63,2.25,"-2,300",975,-18.4,"-1,344",23.6,-5,"1,620",4,64,3.95
10月30日,26,26.1,25.9,25.9,-0.1,-0.38,0.77,"10,706","4,608",2.32,2.78,"-4,473","1,259",317,"-2,897",23.7,-28,"1,625",-6,60,3.69
10月27日,25.95,26.15,25.9,26,0.15,0.58,0.97,"7,543","3,608",2.09,1.96,-969,515,32.6,-422,23.7,-21,"1,653",-1,66,3.99
10月26日,25.85,26,25.8,25.85,-0.1,-0.39,0.77,"14,977","6,419",2.33,3.87,"-5,243",276,-640,"-5,607",23.7,35,"1,674",1,67,4
10月25日,26.1,26.2,25.95,25.95,-0.05,-0.19,0.96,"10,216","4,931",2.07,2.66,"-5,040",753,-10.4,"-4,297",23.7,60,"1,639",-14,66,4.03
10月24日,26.05,26.15,25.95,26,0,0,0.77,"12,031","6,033",1.99,3.13,"-6,693",662,-105,"-6,137",23.8,-7,"1,579",-5,80,5.07
10月23日,26.15,26.3,26,26,-0.2,-0.76,1.15,"10,280","4,818",2.13,2.68,"-3,031",356,-58.9,"-2,734",23.8,-1,"1,586",1,85,5.36
10月20日,26.2,26.35,25.9,26.2,-0.2,-0.76,1.7,"20,453","8,249",2.48,5.34,"-7,435","1,831",-193,"-5,796",23.9,61,"1,587",-2,84,5.29
10月19日,26.55,26.6,26.35,26.4,-0.3,-1.12,0.94,"11,126","6,223",1.79,2.94,"-5,299","1,008",76.7,"-4,214",23.9,36,"1,526",-3,86,5.64
10月18日,26.75,26.75,26.55,26.7,0.05,0.19,0.75,"8,815","4,085",2.16,2.35,167,"1,436",567,"2,169",24,-26,"1,490",-2,89,5.97
10月17日,26.8,26.8,26.5,26.65,-0.1,-0.37,1.12,"10,582","5,414",1.95,2.82,842,315,17.6,"1,174",24,12,"1,516",0,91,6
10月16日,26.6,26.8,26.55,26.75,0.05,0.19,0.94,"10,052","4,249",2.37,2.68,"2,700",533,5.27,"3,239",23.9,-6,"1,504",0,91,6.05
10月13日,26.8,26.85,26.6,26.7,-0.3,-1.11,0.93,"8,974","4,312",2.08,2.4,"-3,028",413,68.9,"-2,546",23.9,-8,"1,510",-1,91,6.03
10月12日,26.95,27,26.75,27,0.15,0.56,0.93,"13,063","4,271",3.06,3.52,"4,364",6.03,114,"4,484",24,-32,"1,518",-5,92,6.06
10月11日,26.7,26.9,26.45,26.85,0.3,1.13,1.69,"20,045","7,350",2.73,5.35,"4,204",178,606,"4,987",23.9,-47,"1,550",-13,97,6.26
10月6日,26.2,26.6,26.2,26.55,0.35,1.34,1.53,"10,130","3,910",2.59,2.68,"2,292",660,5.55,"2,958",23.9,-25,"1,597",-20,110,6.89
