交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月10日,267,267,266,266,0,0,0.38,594,896,0.66,1.58,32.3,1,-11,22.3,27.1,-4,382,0,0,0
11月9日,266.5,267,265.5,266,-1.5,-0.56,0.56,531,"1,479",0.36,1.41,-58.7,0,3,-55.7,27.1,0,386,0,0,0
11月8日,265,268,265,267.5,2.5,0.94,1.13,996,"1,163",0.86,2.65,254,-50,23,227,27.1,-5,386,0,0,0
11月7日,264.5,266,263.5,265,0.5,0.19,0.95,743,"1,120",0.66,1.97,-68.8,1,-2,-69.8,27.1,0,391,0,0,0
11月6日,264,266,263.5,264.5,2.5,0.95,0.95,928,"1,479",0.63,2.46,259,-4,1,256,27.1,-5,391,0,0,0
11月3日,261,263.5,261,262,1.5,0.58,0.96,875,"1,132",0.77,2.3,44.2,-1,0,43.2,27.1,-18,396,0,0,0
11月2日,260.5,261.5,259.5,260.5,3.5,1.36,0.78,541,"1,072",0.5,1.41,-52.2,4,0.75,-47.5,27.1,-17,414,0,0,0
11月1日,258.5,258.5,257,257,-0.5,-0.19,0.58,357,844,0.42,0.92,-108,5,5.2,-98.1,27.1,0,431,0,0,0
10月31日,256.5,258.5,256.5,257.5,1,0.39,0.78,721,935,0.77,1.85,-80.3,2,-0.28,-78.6,27.1,3,431,0,0,0
10月30日,258.5,259,256.5,256.5,-0.5,-0.19,0.97,624,"1,369",0.46,1.6,-316,23.4,16,-277,27.1,3,428,0,0,0
10月27日,257.5,257.5,256.5,257,0.5,0.19,0.39,625,"1,225",0.51,1.61,-120,11,0.42,-108,27.2,-8,425,0,0,0
10月26日,257.5,258,256,256.5,-1,-0.39,0.78,"1,575","2,118",0.74,4.04,-507,2,-36.1,-542,27.2,1,433,0,0,0
10月25日,260,260,257.5,257.5,-1,-0.39,0.97,"1,012","2,925",0.35,2.61,-456,8.24,4.93,-443,27.2,12,432,0,0,0
10月24日,259.5,260,258.5,258.5,0,0,0.58,991,"1,751",0.57,2.56,-244,10.2,-11.7,-245,27.3,10,420,0,0,0
10月23日,260.5,261,258.5,258.5,-1.5,-0.58,0.96,718,"1,636",0.44,1.86,-489,2,-4.48,-491,27.3,4,410,0,0,0
10月20日,259,260.5,258.5,260,1,0.39,0.77,958,"1,592",0.6,2.49,-393,5.96,-4.88,-392,27.3,0,406,0,0,0
10月19日,259,260,259,259,-0.5,-0.19,0.39,"1,439","2,262",0.64,3.73,-775,-17.4,10.7,-781,27.4,-2,406,0,0,0
10月18日,260,260.5,259.5,259.5,0,0,0.39,"1,217","2,121",0.57,3.16,-573,-1,68,-506,27.4,8,408,0,0,0
10月17日,262.5,262.5,259.5,259.5,-3,-1.14,1.14,"1,880","4,904",0.38,4.89,"-1,228",0,18.4,"-1,210",27.5,14,400,0,0,0
10月16日,263,264,262.5,262.5,-0.5,-0.19,0.57,438,822,0.53,1.15,-241,12,6,-223,27.6,0,386,0,0,0
10月13日,262,264.5,262,263,0.5,0.19,0.95,842,"1,574",0.53,2.22,-409,-1,4.11,-406,27.7,-5,386,0,0,0
10月12日,262.5,263.5,261,262.5,2,0.77,0.96,851,"1,187",0.72,2.23,-185,-1,-8.82,-195,27.7,-3,391,0,0,0
10月11日,259.5,262.5,259.5,260.5,-1,-0.38,1.15,"3,032","3,516",0.86,7.9,-649,1,48.9,-600,27.7,3,394,0,0,0
