交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月3日,1590,1690,1580,1690,110,6.96,6.96,"3,862","6,781",0.57,63.6,331,276,64.1,672,,,,,,
11月2日,1585,1625,1560,1580,65,4.29,4.29,"2,305","3,326",0.69,36.6,-183,35,38.8,-110,26.9,89,"2,678",6,105,3.92
11月1日,1535,1545,1485,1515,-5,-0.33,3.95,"1,627","2,725",0.6,24.6,-24,-4,-36.1,-64.1,27,105,"2,589",-6,99,3.82
10月31日,1645,1650,1520,1520,-100,-6.17,8.02,"2,187","4,201",0.52,34.4,-40.1,0.7,-63,-102,27,-65,"2,484",-36,105,4.23
10月30日,1655,1670,1600,1620,-25,-1.52,4.26,"2,078","7,714",0.27,34,-398,68,11.9,-318,27,151,"2,549",-7,141,5.53
10月27日,1615,1660,1600,1645,60,3.79,3.79,"2,696","3,827",0.7,44,99.6,104,-30.8,172,27.2,-191,"2,398",17,148,6.17
10月26日,1580,1615,1570,1585,-70,-4.23,2.72,"3,058","4,689",0.65,48.6,-480,214,15.1,-251,27.1,51,"2,589",-40,131,5.06
10月25日,1650,1690,1640,1655,-10,-0.6,3,"3,810","4,859",0.78,63.4,-409,168,37.5,-203,27.4,-32,"2,538",-21,171,6.74
10月24日,1560,1665,1550,1665,150,9.9,7.59,"5,611","9,618",0.58,90.4,-219,476,80,337,27.5,26,"2,570",101,192,7.47
10月23日,1500,1570,1500,1515,0,0,4.62,"2,570","3,634",0.71,39.4,-19.6,62,10.4,52.8,27.7,30,"2,544",3,91,3.58
10月20日,1455,1530,1425,1515,50,3.41,7.17,"2,682","3,876",0.69,39.9,-465,285,23,-157,27.7,7,"2,514",16,88,3.5
10月19日,1455,1500,1425,1465,20,1.38,5.19,"2,550","3,319",0.77,37.5,-505,90.5,59.9,-355,27.9,68,"2,507",-12,72,2.87
10月18日,1460,1500,1440,1445,-50,-3.34,4.01,"2,711","4,751",0.57,39.6,18,-175,62,-95,28.2,-19,"2,439",-28,84,3.44
10月17日,1615,1620,1490,1495,-95,-5.97,8.18,"3,636","7,353",0.49,55.9,-207,-14,16.4,-205,28.2,43,"2,458",-23,112,4.56
10月16日,1630,1645,1590,1590,-55,-3.34,3.34,"1,462","3,049",0.48,23.6,-216,-53,34.9,-234,28.2,-40,"2,415",-11,135,5.59
10月13日,1675,1705,1620,1645,-25,-1.5,5.09,"2,446","6,430",0.38,40.5,-239,93,-13.9,-160,28.4,28,"2,455",0,146,5.95
10月12日,1635,1695,1630,1670,45,2.77,4,"2,912","5,294",0.55,48.5,91.7,88,0.85,181,28.6,-8,"2,427",-1,146,6.02
10月11日,1650,1675,1590,1625,-35,-2.11,5.12,"4,427","6,195",0.71,72.4,307,135,21.5,463,28.6,-128,"2,435",-51,147,6.04
10月6日,1640,1665,1610,1660,40,2.47,3.4,"2,546","4,498",0.57,41.9,45.7,123,24.4,193,28.4,-139,"2,563",26,198,7.73
10月5日,1625,1655,1610,1620,30,1.89,2.83,"2,987","4,330",0.69,48.7,-246,102,-7.77,-151,28.4,92,"2,702",22,172,6.37
10月4日,1560,1610,1550,1590,-5,-0.31,3.76,"2,250","3,487",0.65,35.6,27.1,58,29.5,115,28.5,-151,"2,610",-18,150,5.75
10月3日,1645,1660,1580,1595,-45,-2.74,4.88,"3,969","6,059",0.66,64.2,-442,121,52.8,-268,28.4,32,"2,761",-36,168,6.08
