交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月10日,900,904,884,884,-21,-2.32,2.21,"7,984","18,990",0.42,71.1,"-1,716",-60.8,-0.28,"-1,777",58.7,104,"6,158",-61,426,6.92
11月9日,913,913,899,905,-9,-0.98,1.53,"6,965","12,204",0.57,63,"-1,189",-121,40,"-1,270",58.8,88,"6,054",-34,487,8.04
11月8日,898,916,895,914,26,2.93,2.36,"9,834","20,422",0.48,89.3,"1,960",177,65,"2,202",58.8,68,"5,966",62,521,8.73
11月7日,890,899,879,888,6,0.68,2.27,"7,289","12,458",0.59,64.8,386,150,-127,408,58.7,-122,"5,898",11,459,7.78
11月6日,879,890,873,882,12,1.38,1.95,"7,493","12,011",0.62,66.2,128,406,-38.7,494,58.7,-36,"6,020",34,448,7.44
11月3日,872,876,864,870,2,0.23,1.38,"5,809","8,826",0.66,50.5,312,60,-321,50.9,58.7,-20,"6,056",5,414,6.84
11月2日,863,877,855,868,22,2.6,2.6,"10,079","16,158",0.62,87.5,-813,499,316,1.49,58.7,230,"6,076",43,409,6.73
11月1日,854,856,832,846,4,0.48,2.85,"6,971","9,019",0.77,58.9,13.8,733,223,970,58.7,-87,"5,846",-2,366,6.26
10月31日,860,861,834,842,-15,-1.75,3.15,"12,015","15,665",0.77,102,"-1,205","1,486",153,434,58.7,26,"5,933",-48,368,6.2
10月30日,819,864,818,857,56,6.99,5.74,"16,751","25,868",0.65,142,"4,715","1,207",166,"6,089",58.8,-702,"5,907",149,416,7.04
10月27日,824,824,800,801,-16,-1.96,2.94,"7,422","13,768",0.54,59.8,"-2,810",-332,417,"-2,725",58.5,289,"6,609",-38,267,4.04
10月26日,815,817,811,817,-5,-0.61,0.73,"5,769","7,126",0.81,47,239,448,-158,529,58.6,163,"6,320",-4,305,4.83
10月25日,818,832,816,822,6,0.74,1.96,"6,591","8,185",0.81,54.2,240,588,562,"1,390",58.6,314,"6,157",0,309,5.02
10月24日,821,823,804,816,-5,-0.61,2.31,"5,162","8,898",0.58,42,-375,66.6,5.16,-304,58.6,12,"5,843",-24,309,5.29
10月23日,825,829,816,821,-7,-0.85,1.57,"5,393","6,999",0.77,44.2,968,128,87.8,"1,184",58.6,-87,"5,831",-16,333,5.71
10月20日,831,837,812,828,-2,-0.24,3.01,"8,706","9,166",0.95,72,285,579,-12.9,851,58.6,263,"5,918",-40,349,5.9
10月19日,811,838,811,830,17,2.09,3.32,"7,863","10,621",0.74,65.3,"1,298","1,085",136,"2,519",58.6,-65,"5,655",46,389,6.88
10月18日,800,822,800,813,-12,-1.45,2.67,"7,907","11,466",0.69,64.3,"-1,289",520,517,-251,58.6,169,"5,720",-67,343,6
10月17日,845,854,820,825,-15,-1.79,4.05,"8,687","24,047",0.36,72.7,207,-268,299,238,58.6,-230,"5,551",-48,410,7.39
10月16日,838,849,832,840,-2,-0.24,2.02,"5,986","10,897",0.55,50.3,-292,589,6.4,303,58.6,-65,"5,781",42,458,7.92
10月13日,820,842,818,842,27,3.31,2.94,"10,447","21,252",0.49,87.1,"3,184",649,191,"4,024",58.6,-159,"5,846",83,416,7.12
10月12日,817,819,805,815,1,0.12,1.72,"7,542","10,182",0.74,61.3,277,191,-205,264,58.4,-69,"6,005",2,333,5.55
10月11日,790,816,790,814,28,3.56,3.31,"14,131","23,063",0.61,114,"3,246",192,506,"3,945",58.4,-49,"6,074",20,331,5.45
