交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月3日,486,487,478,478,-7,-1.44,1.86,"4,454","5,781",0.77,21.4,188,239,-46.3,380,50.5,-124,"2,824",-21,353,12.5
11月2日,476,485,471,485,15,3.19,2.98,"9,271","11,420",0.81,44.4,"2,182",680,73.2,"2,935",50.5,322,"2,948",22,374,12.7
11月1日,457,470.5,455,470,15.5,3.41,3.41,"11,496","12,043",0.95,53.6,"3,543","1,082",156,"4,781",50.6,252,"2,626",52,352,13.4
10月31日,453.5,459,449.5,454.5,2.5,0.55,2.1,"6,727","6,085",1.11,30.6,-109,"1,528",-77.4,"1,341",50,34,"2,374",14,300,12.6
10月30日,437.5,459,437,452,20,4.63,5.09,"10,944","11,646",0.94,49.3,"4,028",-829,-287,"2,912",50,-64,"2,340",71,286,12.2
10月27日,431.5,432.5,429,432,2.5,0.58,0.81,"1,858","1,834",1.01,8.01,-605,296,294,-14.9,49.4,-5,"2,404",2,215,8.94
10月26日,432.5,433,426,429.5,-6,-1.38,1.61,"3,251","3,714",0.88,14,"-1,285",616,-23.5,-692,49.6,21,"2,409",-33,213,8.84
10月25日,431.5,440.5,431.5,435.5,6,1.4,2.1,"3,022","2,841",1.06,13.2,"1,202",276,45.4,"1,524",49.8,-51,"2,388",14,246,10.3
10月24日,430,433,425.5,429.5,-1,-0.23,1.74,"1,726","2,052",0.84,7.41,-128,246,23,141,49.7,-31,"2,439",-7,232,9.51
10月23日,440,444,429,430.5,-9.5,-2.16,3.41,"3,504","3,896",0.9,15.2,-569,-153,55.5,-666,49.7,-12,"2,470",-9,239,9.68
10月20日,439.5,443,433.5,440,1.5,0.34,2.17,"3,517","3,576",0.98,15.4,364,-186,-96.3,81.3,49.8,-54,"2,482",-2,248,9.99
10月19日,432.5,440,430.5,438.5,2.5,0.57,2.18,"3,015","3,089",0.98,13.2,871,-54,290,"1,107",49.8,-90,"2,536",23,250,9.86
10月18日,430.5,439.5,429.5,436,6,1.4,2.33,"4,288","4,146",1.03,18.6,972,-24,243,"1,191",49.7,-123,"2,626",26,227,8.64
10月17日,433.5,437.5,427,430,-1.5,-0.35,2.43,"3,464","3,318",1.04,15,-398,-78.8,169,-308,49.6,31,"2,749",1,201,7.31
10月16日,434,434,427.5,431.5,-5,-1.15,1.49,"2,403","2,942",0.82,10.3,-269,267,102,100,49.6,-160,"2,718",-1,200,7.36
10月13日,433,438,431.5,436.5,4.5,1.04,1.5,"2,418","2,596",0.93,10.5,887,47.9,111,"1,046",49.7,-117,"2,878",4,201,6.98
10月12日,439.5,439.5,429,432,-5,-1.14,2.4,"3,279","3,645",0.9,14.2,"-1,731",30.3,5.43,"-1,695",49.6,157,"2,995",-18,197,6.58
10月11日,433,440.5,433,437,5.5,1.27,1.74,"4,624","4,386",1.05,20.2,"1,669",-41.4,64.1,"1,692",49.9,-133,"2,838",10,215,7.58
10月6日,438.5,440,431,431.5,-9,-2.04,2.04,"4,324","4,844",0.89,18.7,"-1,419",39.4,17.6,"-1,362",49.6,162,"2,971",-4,205,6.9
10月5日,433.5,441.5,431,440.5,9,2.09,2.43,"3,919","4,372",0.9,17.2,"1,564",116,68.8,"1,749",49.9,-114,"2,809",0,209,7.44
10月4日,427.5,434,423,431.5,0.5,0.12,2.55,"2,561","2,946",0.87,11,-836,486,-71.3,-421,49.6,12,"2,923",-10,209,7.15
