交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月10日,20.65,20.9,20.65,20.9,0.15,0.72,1.2,"3,644","1,872",1.95,0.76,"1,263",8,-143,"1,128",17.1,-33,"2,129",0,12,0.56
11月9日,20.85,20.85,20.65,20.75,-0.1,-0.48,0.96,"6,196","2,369",2.62,1.29,-0.12,-11,63,51.9,17.1,-11,"2,162",1,12,0.56
11月8日,21,21,20.75,20.85,-0.05,-0.24,1.2,"5,925","2,085",2.84,1.23,"-1,256",-21,75,"-1,202",17.1,3,"2,173",1,11,0.51
11月7日,20.9,20.95,20.8,20.9,-0.05,-0.24,0.72,"3,603","1,840",1.96,0.75,-0.23,10,-65.5,-55.7,17.1,8,"2,170",1,10,0.46
11月6日,21,21.1,20.85,20.95,0.1,0.48,1.2,"10,332","3,347",3.09,2.17,"5,303",0,5.23,"5,308",17.1,-35,"2,162",-1,9,0.42
11月3日,20.7,20.9,20.65,20.85,0.25,1.21,1.21,"6,511","2,249",2.89,1.35,"3,065",55,46,"3,166",17.1,-6,"2,197",0,10,0.46
11月2日,20.6,20.75,20.5,20.6,0.2,0.98,1.23,"5,596","2,624",2.13,1.15,"1,451",91,71,"1,613",17,-43,"2,203",0,10,0.45
11月1日,20.3,20.45,20.3,20.4,0.1,0.49,0.74,"3,070","1,458",2.11,0.63,-87.6,115,0,27.4,17,-12,"2,246",0,10,0.45
10月31日,20.3,20.4,20.3,20.3,0,0,0.49,"5,907","2,117",2.79,1.2,-840,38,-43,-845,17,-1,"2,258",0,10,0.44
10月30日,20.45,20.55,20.25,20.3,-0.15,-0.73,1.47,"11,250","4,440",2.53,2.29,"-6,627",357,482,"-5,787",17,3,"2,259",0,10,0.44
10月27日,20.3,20.5,20.3,20.45,0.2,0.99,0.99,"3,456","1,552",2.23,0.71,518,188,10,716,17.1,-42,"2,256",0,10,0.44
10月26日,20.3,20.4,20.25,20.25,-0.15,-0.74,0.74,"10,184","3,988",2.55,2.07,"-3,992",68,-575,"-4,499",17.1,28,"2,298",0,10,0.44
10月25日,20.5,20.55,20.35,20.4,0,0,0.98,"8,481","4,060",2.09,1.73,"-3,477",77.4,-43,"-3,443",17.1,41,"2,270",-1,10,0.44
10月24日,20.45,20.55,20.4,20.4,-0.1,-0.49,0.73,"6,938","3,586",1.93,1.42,"-4,621",70,-95.9,"-4,647",17.2,24,"2,229",1,11,0.49
10月23日,20.45,20.65,20.45,20.5,0,0,0.98,"6,935","2,601",2.67,1.42,-424,33,-220,-611,17.2,-2,"2,205",0,10,0.45
10月20日,20.55,20.7,20.4,20.5,-0.25,-1.2,1.45,"13,593","4,251",3.2,2.79,"-4,162",593,-161,"-3,730",17.2,0,"2,207",2,10,0.45
10月19日,20.7,20.8,20.65,20.75,-0.05,-0.24,0.72,"7,971","3,600",2.21,1.65,"-2,646",598,121,"-1,926",17.2,-9,"2,207",1,8,0.36
10月18日,20.95,21,20.75,20.8,-0.15,-0.72,1.19,"5,268","3,143",1.68,1.1,"-1,528",75,842,-611,17.2,-53,"2,216",0,7,0.32
10月17日,21.1,21.1,20.85,20.95,-0.05,-0.24,1.19,"6,309","3,020",2.09,1.32,"-1,756",60,24.3,"-1,671",17.2,-32,"2,269",1,7,0.31
10月16日,20.9,21.05,20.85,21,0.05,0.24,0.95,"5,469","2,222",2.46,1.15,-997,163,-3,-837,17.3,-14,"2,301",0,6,0.26
