交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月10日,353.5,357.5,350.5,355.5,-1.5,-0.42,1.96,"1,446","1,800",0.8,5.12,-304,134,-9.02,-178,55.1,-33,"4,031",2,154,3.82
11月9日,355.5,358.5,352,357,-0.5,-0.14,1.82,"1,672","1,690",0.99,5.94,-228,122,-17,-123,55.1,28,"4,064",-3,152,3.74
11月8日,358,363,355.5,357.5,4,1.13,2.12,"1,721","1,935",0.89,6.18,48.7,6.2,-0.71,54.2,55.1,231,"4,036",6,155,3.84
11月7日,359,359.5,352.5,353.5,-7,-1.94,1.94,"2,183","2,586",0.84,7.74,-742,117,-32.4,-657,55.2,163,"3,805",0,149,3.92
11月6日,358,363.5,357,360.5,5.5,1.55,1.83,"2,275","2,576",0.88,8.2,460,6.07,3.14,469,55.3,106,"3,642",-2,149,4.09
11月3日,353,355,349.5,355,4,1.14,1.57,"1,813","1,822",1,6.4,-117,160,-25.2,18.1,55.3,161,"3,536",3,151,4.27
11月2日,346.5,351.5,345,351,8,2.33,1.9,"2,280","2,312",0.99,7.95,-84,83.7,22.1,21.8,55.3,248,"3,375",-7,148,4.39
11月1日,340,344,337,343,5,1.48,2.07,"1,510","1,552",0.97,5.15,-87.2,297,38.4,248,55.3,-31,"3,127",14,155,4.96
10月31日,344,345.5,337.5,338,-8.5,-2.45,2.31,"3,178","2,849",1.12,10.8,"-1,165",691,62.9,-412,55.3,-41,"3,158",34,141,4.46
10月30日,347,351,342,346.5,0,0,2.6,"2,332","2,157",1.08,8.07,-243,226,-149,-165,55.4,-24,"3,199",4,107,3.34
10月27日,343,356,341.5,346.5,7.5,2.21,4.28,"4,353","3,931",1.11,15.2,764,86.9,-200,651,55.5,-10,"3,223",12,103,3.2
10月26日,336,342.5,334.5,339,-3.5,-1.02,2.34,"2,715","2,546",1.07,9.22,196,47.9,115,359,55.4,-195,"3,233",19,91,2.81
10月25日,345,348.5,340.5,342.5,1.5,0.44,2.35,"2,606","2,451",1.06,8.97,125,-108,58.2,75.6,55.3,-19,"3,428",-2,72,2.1
10月24日,335,341,335,341,7,2.1,1.8,"2,403","2,364",1.02,8.13,-33.1,136,22.9,126,55.4,19,"3,447",-22,74,2.15
10月23日,333.5,338.5,331.5,334,-3,-0.89,2.08,"2,899","2,743",1.06,9.71,120,-262,117,-25.3,55.4,-50,"3,428",-5,96,2.8
10月20日,339.5,342,331,337,-7.5,-2.18,3.19,"7,401","6,659",1.11,24.8,-688,-195,198,-685,55.5,49,"3,478",-16,101,2.9
10月19日,348,348,338,344.5,-6,-1.71,2.85,"4,365","5,078",0.86,15,-415,-19.8,231,-204,55.5,-73,"3,429",-8,117,3.41
10月18日,360.5,361,346.5,350.5,-10,-2.77,4.02,"11,252","7,991",1.41,39.5,420,-288,367,498,55.6,-413,"3,502",-83,125,3.57
10月17日,364,365,359,360.5,-2.5,-0.69,1.65,"3,468","3,418",1.01,12.5,-554,61,111,-382,55.5,133,"3,915",-45,208,5.31
10月16日,363,366.5,360,363,-2,-0.55,1.78,"2,499","2,533",0.99,9.06,413,102,85,600,55.6,-142,"3,782",66,253,6.69
10月13日,376,376,362.5,365,-12.5,-3.31,3.58,"4,739","5,486",0.86,17.4,"-1,533",22.3,460,"-1,050",55.6,29,"3,924",-1,187,4.77
