交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月3日,183,191.5,183,190,8.5,4.68,4.68,"2,550","1,986",1.28,4.82,572,41,-2.86,610,15.7,-36,"2,145",2,8,0.37
11月2日,183,183.5,180,181.5,-0.5,-0.27,1.92,"1,093","3,159",0.35,1.98,-97.1,-9,-9.08,-115,15.6,-76,"2,181",-6,6,0.28
11月1日,180,182,179.5,182,3.5,1.96,1.4,909,"1,249",0.73,1.65,-90.8,80,-20.7,-31.5,15.6,-9,"2,257",0,12,0.53
10月31日,178,181.5,177,178.5,1,0.56,2.54,"1,133",945,1.2,2.03,-227,406,-0.68,178,15.6,-15,"2,266",-5,12,0.53
10月30日,180,181.5,175.5,177.5,-2.5,-1.39,3.33,"1,259","1,313",0.96,2.23,-303,21.1,15.9,-266,15.6,16,"2,281",0,17,0.75
10月27日,180.5,182,180,180,-2,-1.1,1.1,613,998,0.61,1.11,-167,-85.3,1.1,-251,15.7,6,"2,265",-4,17,0.75
10月26日,181,182.5,178.5,182,-1.5,-0.82,2.18,999,"1,259",0.79,1.81,-94,-21,-27.1,-142,15.7,-5,"2,259",1,21,0.93
10月25日,180.5,184.5,180.5,183.5,4,2.23,2.23,"1,156","1,078",1.07,2.12,-173,10.6,69.9,-92.7,15.7,-23,"2,264",1,20,0.88
10月24日,180,180.5,177,179.5,1.5,0.84,1.97,645,603,1.07,1.15,157,-12.4,8.99,154,15.7,-18,"2,287",-1,19,0.83
10月23日,179.5,181,178,178,-1.5,-0.84,1.67,765,711,1.08,1.37,7.7,-24,-4.76,-21.1,15.7,2,"2,305",-1,20,0.87
10月20日,179.5,181.5,176,179.5,-2,-1.1,3.03,"1,438","2,151",0.67,2.57,-107,-15.9,-5.72,-128,15.7,15,"2,303",0,21,0.91
10月19日,181,183,178.5,181.5,0.5,0.28,2.49,"1,760","2,414",0.73,3.18,-242,-48.4,-50.3,-341,15.8,122,"2,288",-3,21,0.92
10月18日,183,185,181,181,-2,-1.09,2.19,"1,028","1,355",0.76,1.88,-321,5,38.1,-278,15.8,173,"2,166",0,24,1.11
10月17日,183,186.5,181.5,183,2,1.1,2.76,"1,223",867,1.41,2.25,-110,0,1.92,-108,15.8,101,"1,993",-1,24,1.2
10月16日,183.5,184.5,180.5,181,-4,-2.16,2.16,"1,162","1,297",0.9,2.11,-45.6,-86,3.52,-128,15.8,11,"1,892",-5,25,1.32
10月13日,185,186,181.5,185,-1.5,-0.8,2.41,"1,876","1,653",1.14,3.45,-468,-26.4,5.21,-489,15.8,-36,"1,881",4,30,1.59
10月12日,188,190,183.5,186.5,-4,-2.1,3.41,"2,251","4,193",0.54,4.19,5.14,-142,-5.03,-142,15.8,31,"1,917",11,26,1.36
10月11日,192,192,187,190.5,0.5,0.26,2.63,"1,760","3,188",0.55,3.34,107,-39.7,59.2,126,15.8,-53,"1,886",1,15,0.8
10月6日,189.5,191.5,188.5,190,0.5,0.26,1.58,992,"1,392",0.71,1.89,-110,11.3,0,-99,15.8,-11,"1,939",0,14,0.72
10月5日,188,190,187.5,189.5,1.5,0.8,1.33,"1,776","1,788",0.99,3.35,76.7,8.96,-5,80.6,15.9,-77,"1,950",1,14,0.72
10月4日,187,190,185.5,188,-3.5,-1.83,2.35,"2,648","3,708",0.71,4.96,-133,-10.9,-72,-216,15.8,-19,"2,027",-2,13,0.64
