交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月10日,78.5,79.1,78.3,78.5,-0.2,-0.25,1.02,"1,947","2,026",0.96,1.53,257,261,-2.03,516,18.5,7,459,2,194,42.3
11月9日,78.3,79,78,78.7,0.4,0.51,1.28,"3,990","2,524",1.58,3.14,701,691,-21,"1,371",18.5,-4,452,3,192,42.5
11月8日,78.4,78.6,77.9,78.3,0.2,0.26,0.9,"2,907","1,865",1.56,2.28,"1,103",3,46.6,"1,153",18.5,53,456,3,189,41.4
11月7日,77.9,78.3,77.5,78.1,0.3,0.39,1.03,"3,921","2,301",1.7,3.06,512,182,-10.1,684,18.5,-36,403,0,186,46.2
11月6日,77.7,78.4,77.4,77.8,0.9,1.17,1.3,"4,034","2,653",1.52,3.14,805,731,-56.8,"1,479",18.4,-19,439,10,186,42.4
11月3日,77.1,77.4,76.6,76.9,0.1,0.13,1.04,"3,703","3,014",1.23,2.85,-528,696,-53.8,114,18.4,2,458,6,176,38.4
11月2日,76.5,77.1,76.4,76.8,0,0,0.91,"3,360","2,677",1.26,2.58,-154,140,26,12.1,18.4,20,456,12,170,37.3
11月1日,76,77.3,76,76.8,0.9,1.19,1.71,"4,650","3,297",1.41,3.57,-56.3,"1,088",-91,941,18.4,-17,436,4,158,36.2
10月31日,75.1,76.1,75.1,75.9,0.8,1.07,1.33,"5,243","3,002",1.75,3.97,812,446,-127,"1,131",18.4,-14,453,30,154,34
10月30日,75.4,75.5,74.6,75.1,-0.2,-0.27,1.2,"3,481","3,754",0.93,2.61,-373,741,-22.5,346,18.4,3,467,3,124,26.6
10月27日,74.9,75.4,74.9,75.3,0.4,0.53,0.67,"2,485","1,665",1.49,1.87,847,208,-95.4,959,18.4,-16,464,2,121,26.1
10月26日,74.8,75.3,74.5,74.9,-0.2,-0.27,1.07,"3,369","2,156",1.56,2.52,-83.2,138,-194,-140,18.4,-1,480,0,119,24.8
10月25日,75.4,75.7,75,75.1,-0.2,-0.27,0.93,"3,463","2,184",1.59,2.6,-863,461,-26.8,-429,18.4,66,481,4,119,24.7
10月24日,75,75.3,74.7,75.3,0.4,0.53,0.8,"2,710","2,090",1.3,2.03,-117,431,-22,292,18.4,21,415,0,115,27.7
10月23日,74.6,75,74.3,74.9,0.4,0.54,0.94,"3,598","2,632",1.37,2.69,246,-88,-48,110,18.4,2,394,0,115,29.2
10月20日,74.1,75.1,74,74.5,-0.8,-1.06,1.46,"6,856","4,132",1.66,5.11,-560,-391,-141,"-1,092",18.4,23,392,2,115,29.3
10月19日,74.7,75.3,74.5,75.3,0.1,0.13,1.06,"4,286","2,740",1.56,3.21,653,-936,-34.1,-318,18.4,17,369,1,113,30.6
10月18日,75.5,75.5,74.8,75.2,0.5,0.67,0.94,"4,174","2,530",1.65,3.14,"-1,318",624,76,-618,18.4,-4,352,1,112,31.8
10月17日,75.3,75.7,74.6,74.7,-0.6,-0.8,1.46,"3,785","3,530",1.07,2.84,-51.9,-387,-59.9,-499,18.5,7,356,0,111,31.2
10月16日,74.3,75.4,74.1,75.3,1,1.35,1.75,"3,256","2,400",1.36,2.44,599,344,-51,892,18.5,-30,349,0,111,31.8
10月13日,74,74.7,73.9,74.3,-0.4,-0.54,1.07,"2,532","2,450",1.03,1.88,-628,232,7,-389,18.5,1,379,0,111,29.3
