交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月10日,109.5,110,108,109,0,0,1.83,"10,190","4,739",2.15,11.1,"-1,327",8,-115,"-1,434",27.7,172,"29,567",-24,"2,567",8.68
11月9日,108,110,107.5,109,1.5,1.4,2.33,"8,220","5,190",1.58,8.96,"2,806",-45,224,"2,985",27.6,-237,"29,397",88,"2,591",8.81
11月8日,109,109.5,107,107.5,-1,-0.92,2.3,"10,323","6,366",1.62,11.1,"-2,947",14,-180,"-3,113",27.5,36,"29,635",-272,"2,503",8.45
11月7日,108.5,110,108.5,108.5,-0.5,-0.46,1.38,"6,288","4,039",1.56,6.86,508,-74.8,264,697,27.7,52,"29,599",4,"2,775",9.38
11月6日,109.5,110.5,107.5,109,-4,-3.54,2.65,"18,336","9,839",1.86,20,"-5,874",70.2,-115,"-5,919",27.7,888,"29,547",-38,"2,771",9.38
11月3日,111,113,111,113,2.5,2.26,1.81,"11,821","8,325",1.42,13.3,"4,183",12,735,"4,930",27.8,-582,"28,659",158,"2,809",9.8
11月2日,109.5,110.5,109,110.5,1.5,1.38,1.38,"8,317","5,684",1.46,9.16,"3,445",15,252,"3,712",27.7,-163,"29,241",70,"2,651",9.07
11月1日,108,109.5,108,109,1.5,1.4,1.4,"8,271","4,457",1.86,9,"2,159",17.4,256,"2,432",27.5,-50,"29,404",130,"2,581",8.78
10月31日,110,110,107,107.5,-2.5,-2.27,2.73,"15,289","5,654",2.7,16.5,"-3,926",6,-46.9,"-3,967",27.4,-21,"29,454",118,"2,451",8.32
10月30日,109,110,107.5,110,2,1.85,2.31,"13,966","7,625",1.83,15.2,"1,604",96,603,"2,303",27.5,-67,"29,475",1,"2,333",7.92
10月27日,106.5,108,106,108,1.5,1.41,1.88,"11,100","7,065",1.57,11.9,"3,591",271,85,"3,946",27.4,-432,"29,544",45,"2,332",7.89
10月26日,105,106.5,104,106.5,1,0.95,2.37,"11,635","5,085",2.29,12.3,"1,867",456,-340,"1,982",27.3,-175,"29,976",-26,"2,287",7.63
10月25日,105.5,106,105,105.5,0.5,0.48,0.95,"5,567","3,347",1.66,5.88,652,358,96.9,"1,107",27.2,-190,"30,151",19,"2,313",7.67
10月24日,103.5,105.5,103,105,1.5,1.45,2.42,"7,348","4,115",1.79,7.68,"1,969",392,-32.1,"2,329",27.4,-123,"30,342",14,"2,294",7.56
10月23日,103.5,104.5,103,103.5,0,0,1.45,"7,005","3,198",2.19,7.27,-825,-112,-243,"-1,179",27.3,-232,"30,465",-3,"2,280",7.48
10月20日,103,103.5,102,103.5,0,0,1.45,"13,356","8,570",1.56,13.7,"1,881",406,"-3,254",-968,27.3,20,"30,697",-67,"2,283",7.44
10月19日,102.5,105,102.5,103.5,1,0.98,2.44,"7,555","4,293",1.76,7.83,195,134,177,506,27.4,17,"30,677",-25,"2,350",7.66
10月18日,103.5,105,102.5,102.5,-0.5,-0.49,2.43,"17,149","9,370",1.83,17.7,"-1,883",288,"-1,778","-3,373",27.5,636,"30,663",-132,"2,375",7.75
10月17日,104,104.5,103,103,-1,-0.96,1.44,"5,785","4,594",1.26,5.99,-975,238,-134,-871,27.5,56,"30,027",-22,"2,507",8.35
10月16日,104,104,102.5,104,-1,-0.95,1.43,"9,009","5,833",1.54,9.32,"-1,508",484,-19.5,"-1,044",27.5,-169,"29,971",-135,"2,529",8.44
