交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月10日,11.45,11.55,11.4,11.45,0,0,1.31,"21,059","6,449",3.27,2.42,"-3,918",-24,-111,"-4,054",20.4,-140,"43,671",22,353,0.81
11月9日,11.45,11.55,11.4,11.45,0,0,1.31,"24,400","6,541",3.73,2.79,"-6,003",-28,"5,601",-430,20.4,-7,"43,811",15,331,0.76
11月8日,11.55,11.6,11.4,11.45,-0.05,-0.43,1.74,"29,300","7,779",3.77,3.36,"-6,192",-9,-115,"-6,315",20.4,275,"43,818",-2,316,0.72
11月7日,11.6,11.65,11.45,11.5,-0.15,-1.29,1.72,"28,291","8,450",3.35,3.26,"-5,865",8,108,"-5,749",20.4,126,"43,543",8,318,0.73
11月6日,11.6,11.7,11.55,11.65,0.1,0.87,1.3,"37,363","8,696",4.3,4.35,"1,462",-3,"-1,544",-85.3,20.4,-724,"43,417",-99,310,0.71
11月3日,11.25,11.55,11.25,11.55,0.35,3.12,2.68,"53,062","11,068",4.79,6.06,"13,983",23,"2,246","16,252",20.4,26,"44,141",50,409,0.93
11月2日,11.25,11.35,11.15,11.2,0,0,1.79,"46,695","12,440",3.75,5.25,"-9,413","-5,645",70,"-14,988",20.3,784,"44,115",-26,359,0.81
11月1日,11.25,11.3,11.15,11.2,-0.1,-0.88,1.33,"25,221","7,971",3.16,2.83,"-3,006",158,129,"-2,719",20.3,770,"43,331",1,385,0.89
10月31日,11.25,11.3,11.2,11.3,0.1,0.89,0.89,"28,182","9,872",2.85,3.17,"-1,583",54,-107,"-1,636",20.3,-290,"42,561",-164,384,0.9
10月30日,11.3,11.4,11.15,11.2,-0.1,-0.88,2.21,"46,405","12,441",3.73,5.21,"-12,917",403,97.2,"-12,417",20.4,476,"42,851",25,548,1.28
10月27日,11.3,11.4,11.3,11.3,0,0,0.88,"30,052","9,278",3.24,3.41,"-10,308",258,36,"-10,014",20.5,-29,"42,375",102,523,1.23
10月26日,11.45,11.5,11.3,11.3,-0.2,-1.74,1.74,"57,998","17,011",3.41,6.59,"-25,699",101,-848,"-26,446",20.5,"1,125","42,404",26,421,0.99
10月25日,11.55,11.6,11.5,11.5,-0.05,-0.43,0.87,"32,519","7,697",4.22,3.75,"-9,052",112,-32.3,"-8,973",20.6,"2,636","41,279",22,395,0.96
10月24日,11.55,11.6,11.45,11.55,0,0,1.3,"40,883","11,036",3.7,4.71,"-12,415",157,-68.7,"-12,327",20.7,"2,873","38,643",7,373,0.97
10月23日,11.6,11.7,11.55,11.55,-0.15,-1.28,1.28,"28,688","8,255",3.48,3.33,"-9,363",60.9,-85,"-9,387",20.7,-239,"35,770",11,366,1.02
10月20日,11.75,11.75,11.55,11.7,-0.15,-1.27,1.69,"52,244","12,657",4.13,6.09,"-17,006",60.7,-519,"-17,464",20.8,423,"36,009",37,355,0.99
10月19日,11.85,11.9,11.8,11.85,-0.1,-0.84,0.84,"25,481","6,989",3.65,3.02,"-8,576",724,29.3,"-7,822",20.9,-80,"35,586",5,318,0.89
10月18日,11.95,12,11.85,11.95,0,0,1.26,"31,672","8,366",3.79,3.77,"-7,289",70.6,"1,419","-5,799",20.9,-97,"35,666",11,313,0.88
10月17日,12,12.05,11.9,11.95,-0.1,-0.83,1.24,"28,186","6,929",4.07,3.37,"-6,283",0,133,"-6,150",20.9,248,"35,763",-2,302,0.84
