交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月3日,95.8,96.2,95.2,95.8,-1.2,-1.24,1.03,"44,284","40,355",1.1,42.4,"-12,998",-602,195,"-13,404",38.4,-118,"44,221",-32,861,1.95
11月2日,96.2,97.4,96,97,1.4,1.46,1.46,"25,319","17,294",1.46,24.5,559,150,725,"1,433",38.4,-766,"44,339",-23,893,2.01
11月1日,96.4,96.5,95.6,95.6,-0.9,-0.93,0.93,"26,793","21,619",1.24,25.7,"-11,521",-986,43.4,"-12,463",38.5,383,"45,105",25,916,2.03
10月31日,95.1,96.9,95.1,96.5,2,2.12,1.9,"63,988","35,607",1.8,61.5,"2,546",-757,-209,"1,580",38.6,"-1,215","44,722",129,891,1.99
10月30日,98.3,98.5,94,94.5,-3.7,-3.77,4.58,"139,233","116,153",1.2,133,"-31,614",106,"-1,035","-32,544",38.5,"-1,779","45,937",125,762,1.66
10月27日,98.5,98.9,98.2,98.2,-0.3,-0.3,0.71,"33,550","21,702",1.55,33,"-12,270",203,810,"-11,258",38.7,-34,"47,716",-17,637,1.33
10月26日,98.3,98.7,98,98.5,-0.5,-0.51,0.71,"42,562","27,214",1.56,41.9,"-13,073",2.11,-208,"-13,279",38.8,-71,"47,750",13,654,1.37
10月25日,98.3,99.5,98.3,99,0.7,0.71,1.22,"41,361","30,692",1.35,41,"-17,070",171,180,"-16,719",38.9,"-2,638","47,821",-135,641,1.34
10月24日,99.8,99.8,97.3,98.3,-2.2,-2.19,2.49,"113,706","87,571",1.3,112,"-39,263",-590,-740,"-40,593",39.1,555,"50,459",448,776,1.54
10月23日,102,102,100,100.5,-3,-2.9,1.93,"84,175","52,609",1.6,84.9,"-38,795",-710,"-2,124","-41,628",39.3,-228,"49,904",209,328,0.66
10月20日,103,104.5,103,103.5,0,0,1.45,"33,200","13,143",2.53,34.4,-804,"-4,077",940,"-3,940",39.6,-85,"50,132",-38,119,0.24
10月19日,105,105.5,103,103.5,-2,-1.9,2.37,"42,470","20,878",2.03,44.1,"-13,295","-6,403","1,665","-18,033",39.6,617,"50,217",1,157,0.31
10月18日,106,106.5,105,105.5,-1,-0.94,1.41,"28,735","13,667",2.1,30.4,"-1,211","-1,011","-2,007","-4,229",39.7,"1,115","49,600",-7,156,0.31
10月17日,107.5,108,106.5,106.5,-0.5,-0.47,1.4,"17,843","8,336",2.14,19.1,"-3,367",-170,507,"-3,030",39.8,760,"48,485",1,163,0.34
10月16日,107,107.5,106.5,107,-0.5,-0.47,0.93,"17,540","8,617",2.04,18.8,-734,186,457,-91.6,39.8,43,"47,725",5,162,0.34
10月13日,107,107.5,106,107.5,0.5,0.47,1.4,"27,593","9,635",2.86,29.5,"6,135",2,93.9,"6,231",39.8,213,"47,682",27,157,0.33
10月12日,106.5,107,106,107,1,0.94,0.94,"30,019","11,222",2.68,32,"11,571",126,-491,"11,206",39.7,-578,"47,469",5,130,0.27
10月11日,106.5,106.5,105.5,106,0.5,0.47,0.95,"39,153","13,879",2.82,41.5,"6,351",92,97.5,"6,541",39.6,449,"48,047",3,125,0.26
10月6日,105,106,104.5,105.5,2,1.93,1.45,"28,203","12,925",2.18,29.7,"2,703",135,475,"3,313",39.6,-397,"47,598",-4,122,0.26
10月5日,103,104,103,103.5,0.5,0.49,0.97,"16,778","8,814",1.9,17.3,228,-262,320,286,39.6,84,"47,995",11,126,0.26
